Season,Year,City,Name,Sex,NOC,Discipline,Event,Medal
Summer,1896,Athens,HAJÓS Alfréd,Male,HUN,Swimming,1200 metres Freestyle - Men,Gold
Summer,1896,Athens,ANDREOU Ioannis,Male,GRE,Swimming,1200 metres Freestyle - Men,Silver
Summer,1896,Athens,HAJÓS Alfréd,Male,HUN,Swimming,100 metres Freestyle - Men,Gold
Summer,1896,Athens,HERSCHMANN Otto,Male,AUT,Swimming,100 metres Freestyle - Men,Silver
Summer,1896,Athens,DRIVAS Dimitrios,Male,GRE,Swimming,100 metres Freestyle for Sailors - Men,Bronze
Summer,1896,Athens,MALOKINIS Ioannis,Male,GRE,Swimming,100 metres Freestyle for Sailors - Men,Gold
Summer,1896,Athens,KHAZAPIS Spyros,Male,GRE,Swimming,100 metres Freestyle for Sailors - Men,Silver
Summer,1896,Athens,KHORAFAS Efstathios,Male,GRE,Swimming,500 metres Freestyle - Men,Bronze
Summer,1896,Athens,NEUMANN Paul,Male,AUT,Swimming,500 metres Freestyle - Men,Gold
Summer,1896,Athens,PEPANOS Antonios,Male,GRE,Swimming,500 metres Freestyle - Men,Silver
Summer,1896,Athens,LERMUSIAUX Albin,Male,FRA,Athletics,1500 metres - Men,Bronze
Summer,1896,Athens,FLACK Teddy,Male,AUS,Athletics,1500 metres - Men,Gold
Summer,1896,Athens,BLAKE Arthur C.,Male,USA,Athletics,1500 metres - Men,Silver
Summer,1896,Athens,SZOKOLY Alajos,Male,HUN,Athletics,100 metres - Men,Bronze
Summer,1896,Athens,LANE Frank,Male,USA,Athletics,100 metres - Men,Bronze
Summer,1896,Athens,BURKE Tom,Male,USA,Athletics,100 metres - Men,Gold
Summer,1896,Athens,HOFMANN Fritz,Male,GER,Athletics,100 metres - Men,Silver
Summer,1896,Athens,CURTIS Tom,Male,USA,Athletics,110 metres Hurdles - Men,Gold
Summer,1896,Athens,GOULDING Grantley,Male,GBR,Athletics,110 metres Hurdles - Men,Silver
Summer,1896,Athens,GMELIN Charles,Male,GBR,Athletics,400 metres - Men,Bronze
Summer,1896,Athens,BURKE Tom,Male,USA,Athletics,400 metres - Men,Gold
Summer,1896,Athens,JAMISON Herbert,Male,USA,Athletics,400 metres - Men,Silver
Summer,1896,Athens,GOLEMIS Dimitrios,Male,GRE,Athletics,800 metres - Men,Bronze
Summer,1896,Athens,FLACK Teddy,Male,AUS,Athletics,800 metres - Men,Gold
Summer,1896,Athens,DÁNI Nándor,Male,HUN,Athletics,800 metres - Men,Silver
Summer,1896,Athens,VERSIS Sotirios,Male,GRE,Athletics,Discus Throw - Men,Bronze
Summer,1896,Athens,GARRETT Bob,Male,USA,Athletics,Discus Throw - Men,Gold
Summer,1896,Athens,PARASKEVOPOULOS Panagiotis,Male,GRE,Athletics,Discus Throw - Men,Silver
Summer,1896,Athens,CLARK Ellery,Male,USA,Athletics,High Jump - Men,Gold
Summer,1896,Athens,CONNOLLY James B.,Male,USA,Athletics,High Jump - Men,Silver
Summer,1896,Athens,GARRETT Bob,Male,USA,Athletics,High Jump - Men,Silver
Summer,1896,Athens,CONNOLLY James B.,Male,USA,Athletics,Long Jump - Men,Bronze
Summer,1896,Athens,CLARK Ellery,Male,USA,Athletics,Long Jump - Men,Gold
Summer,1896,Athens,GARRETT Bob,Male,USA,Athletics,Long Jump - Men,Silver
Summer,1896,Athens,KELLNER Gyula,Male,HUN,Athletics,Marathon - Men,Bronze
Summer,1896,Athens,LOUIS Spyros,Male,GRE,Athletics,Marathon - Men,Gold
Summer,1896,Athens,VASILAKOS Kharilaos,Male,GRE,Athletics,Marathon - Men,Silver
Summer,1896,Athens,DAMASKOS Evangelos,Male,GRE,Athletics,Pole Vault - Men,Bronze
Summer,1896,Athens,THEODOROPOULOS Ioannis,Male,GRE,Athletics,Pole Vault - Men,Bronze
Summer,1896,Athens,HOYT Bill,Male,USA,Athletics,Pole Vault - Men,Gold
Summer,1896,Athens,TYLER Albert,Male,USA,Athletics,Pole Vault - Men,Silver
Summer,1896,Athens,PAPASIDERIS Georgios,Male,GRE,Athletics,Shot Put - Men,Bronze
Summer,1896,Athens,GARRETT Bob,Male,USA,Athletics,Shot Put - Men,Gold
Summer,1896,Athens,GOUSKOS Miltiadis,Male,GRE,Athletics,Shot Put - Men,Silver
Summer,1896,Athens,PERSAKIS Ioannis,Male,GRE,Athletics,Triple Jump - Men,Bronze
Summer,1896,Athens,CONNOLLY James B.,Male,USA,Athletics,Triple Jump - Men,Gold
Summer,1896,Athens,TUFFÈRI Alexandre,Male,FRA,Athletics,Triple Jump - Men,Silver
Summer,1896,Athens,BATTEL Edward,Male,GBR,Cycling Road,Road Race Individual - Men,Bronze
Summer,1896,Athens,KONSTANTINIDIS Aristidis,Male,GRE,Cycling Road,Road Race Individual - Men,Gold
Summer,1896,Athens,GÖDRICH Anton,Male,GER,Cycling Road,Road Race Individual - Men,Silver
Summer,1896,Athens,SCHMAL Adolf,Male,AUT,Cycling Track,10000 metres - Men,Bronze
