Year,Position,Name,NOC,Time/Distance/Points,Record
1904,1, Harry Hillman,USA,24.6,OR
1904,2, Frank Castleman,USA,24.9
1904,3, George Poage,USA,--
1904,4, George Varnell,USA,--
1904,5, Frederick Schule,USA,--
1900,1, Alvin Kraenzlein,USA,25.4,OR
1900,2, Norman Pritchard,IND,--
1900,3, Walter Tewksbury,USA,--
1900,4, Eugene Choisel,FRA,--
1900,-,Frederick Moloney,USA,--
1900,-,William Remington,USA,--,ac
1900,-,Gustav Rau,GER,--,ac
1900,-,Thaddeus McClain,USA,--
1900,-,Henri Tauzin,FRA,--
1900,-,William Lewis,USA,--,ac
1900,-,Zoltan Speidl,HUN,--,ac
