Year,Position,Name,NOC,Time/Distance/Points,Record
1924, ,ESP,dnf,    
1924,-,GBR,dnf,    
1924, ,ITA,dnf,    
1924, ,SWE,dnf,    
1920,1,Paavo Nurmi,FIN,10
1920,2,James Wilson,GBR,21
1920,3,Eric Backman,SWE,23
1920,4,Patrick Flynn,USA,36
1920,5,Gaston Heuet,FRA,40
1920,6,Julien van Campenhout,BEL,61
1920,7,Albert Andersen,DEN,63
1912,1,Hjalmar Andersson,SWE,10
1912,2,Hannes Kolehmainen,FIN,11
1912,3,Frederick Hibbins,GBR,49
1912,4,Olav Hovdenak,NOR,61
1912,5,Lauritz Christiansen,DEN,63
1912, ,Harry Hellawell,USA,dnf
