Year,Position,Name,NOC,Time/Distance/Points,Record
2020,1, Mutaz Essa Barshim,QAT,2.37,
2020,1, Gianmarco Tamberi,ITA,2.37,
2020,3, Maksim Nedasekau,BLR,2.37,
2020,4, Woo Sanghyeok,KOR,2.35,
2020,5, Brandon Starc,AUS,2.35,
2020,6, Mikhail Akimenko,ROC,2.33,
2020,7, Juvaughn Harrison,USA,2.33,
2020,8, Django Lovett,CAN,2.3,
2020,9, Ilya Ivanyuk,ROC,2.3,
2020,10, Hamish Kerr,NZL,2.3,
2020,11, Tom Gale,GBR,2.27,
2020,12, Shelby McEwen,USA,2.27,
2020,13, Naoto Tobe,JPN,2.24,
2020,-,Andriy Protsenko,UKR,2.25,
2020,-,Dzmitry Nabokau,BLR,2.25,
2020,-,Takashi Eto,JPN,2.21,
2020,-,Wang Yu,CHN,2.21,
2020,-,Fernando Ferreira,BRA,2.21,
2020,-,Donald Thomas,BAH,2.21,
2020,-,Luis Enrique Zayas,CUB,2.17,
2020,-,Adrijus Glebauskas,LTU,2.17,
2020,-,Mathew Sawe,KEN,2.17,
2020,-,Hup Wei Lee,MAS,nm,
2020,-,Michael Mason,CAN,2.25,
2020,-,Majdeddin Ghazal,SYR,2.21,
2020,-,Edgar Rivera,MEX,2.21,
2020,-,Thiago Moura,BRA,2.21,
2020,-,Mateusz Przybylko,GER,2.21,
2020,-,Loic Gasch,SUI,2.21,
2020,-,Tihomir Ivanov,BUL,2.17,
2020,-,Stefano Sottile,ITA,2.17,
2020,-,Darryl Sullivan,USA,2.17,
2020,-,Jamal Wilson,BAH,2.17,
2016,1, Derek Drouin,CAN,2.38,
2016,2, Mutaz Essa Barshim,QAT,2.36,
2016,3, Bohdan Bondarenko,UKR,2.33,
2016,4, Robert Grabarz,GBR,2.33,
2016,4, Andriy Protsenko,UKR,2.33,
2016,6, Erik Kynard,USA,2.33,
2016,7, Donald Thomas,BAH,2.29,
2016,7, Kyriakos Ioannou,CYP,2.29,
2016,7, Majdeddin Ghazal,SYR,2.29,
2016,10, Tikhomir Ivanov,BUL,2.29,
2016,11, Trevor Barry,BAH,2.25,
2016,12, Dimitrios Chondrokoukis,CYP,2.25,
2016,13, Luis Castro,PUR,2.25,
2016,14, Jaroslav Bába,CZE,2.2,
2016,15, Brandon Starc,AUS,2.2,
2016,-,Chris Baker,GBR,2.26,
2016,-,Ricky Robertson,USA,2.26,
2016,-,Michael Mason,CAN,2.26,
2016,-,Woo Sanghyeok,KOR,2.26,
2016,-,Eike Onnen,GER,2.26,
2016,-,Wojciech Theiner,POL,2.22,
2016,-,Andrei Churyla,BLR,2.22,
2016,-,Wang Yu,CHN,2.22,
2016,-,Silvano Chesani,ITA,2.22,
2016,-,Konstadinos Baniótis,GRE,2.22,
2016,-,Takashi Eto,JPN,2.17,
2016,-,Eugenio Rossi,SMR,2.17,
2016,-,Matus Bubenik,SVK,2.17,
2016,-,Hsiang Chun-hsien,TPE,2.17,
2016,-,Dmitry Kroyter,ISR,2.17,
2016,-,Nauraj Randhawa,MAS,2.26,
2016,-,Dmytro Yakovenko,UKR,2.26,
2016,-,Bradley Adkins,USA,2.26,
2016,-,David Adley Smith,PUR,2.26,
2016,-,Zhang Guowei,CHN,2.22,
2016,-,Jamal Wilson,BAH,2.22,
2016,-,Mateusz Przybylko,GER,2.22,
2016,-,Arturo Chavez,PER,2.22,
2016,-,Sylwester Bednarek,POL,2.22,
2016,-,Talles Silva,BRA,2.17,
2016,-,Edgar Rivera,MEX,2.17,
2016,-,Joel Baden,AUS,2.17,
2016,-,Dzmitry Nabokau,BLR,2.17,
2016,-,Yun Seunghyun,KOR,2.17,
2012,1, Erik Kynard,USA,2.33,
2012,2, Mutaz Essa Barshim,QAT,2.29,
