Year,Position,Name,NOC,Time/Distance/Points,Record
2016,USA,101,SRB,70
2016,ESP,72,4.,FRA,63
2016,-,86,ESP,68
2016,-,67,SRB,54
2012,USA,86,AUS,83
2012,FRA,50,4.,RUS,74
2012,-,73,RUS,64
2008,USA,92,RUS,94
2008,AUS,65,4.,CHN,81
2008,-,90,USA,67
2008,-,56,RUS,52
2004,USA,74,RUS,71
2004,AUS,63,4.,BRA,62
2004,-,88,USA,66
2004,-,75,RUS,52
2000,USA,76,BRA,84
2000,AUS,54,4.,KOR,73
2000,-,64,USA,78
2000,-,52,KOR,65
1996,USA,111,AUS,66
1996,BRA,87,4.,UKR,56
1996,-,81,USA,93
1996,-,60,AUS,71
1992,EUN,76,USA,88
1992,CHN,66,4.,CUB,74
1992,-,109,EUN,79
1992,-,70,USA,73
1988,USA,77,URS,68
1988,YUG,70,4.,AUS,53
1988,-,57,USA,102
1988,-,56,URS,88
1980,URS,104,YUG,68
1980,BUL,73,4.,HUN,65
1976,4,TCH,2 - 3,    351 - 359
1976,5,JPN,2 - 3,    405 - 400
1976,6,CAN,0 - 5,    336 - 477
