Year,Position,Name,NOC,Time/Distance/Points,Record
1956,1,Pavel Kharine,URS,54:02.4
1956,2,Georges Dransart,FRA,54:48.3
1956,3,Imre Farkas,HUN,55:15.6
1956,4,Egon Drews,GER,55:21.1
1956,5,Alexe Dumitru,ROU,55:51.1
1956,6,Aksel Dunn,DEN,55:54.3
1956,7,William Jones,AUS,56:18.6
1956,8,Otto Schindler,AUT,56:48.7
1956,9,William Stevenson,CAN,56:50.2
1956,10,John Haas,USA,58:30.0
1952,1,Georges Turlier,FRA,54:08.3
1952,2,Kenneth Lane,CAN,54:09.9
1952,3,Egon Drews,GER,54:28.1
1952,4,Valentin Orichenko,URS,54:36.6
1952,5,John Haas,USA,54:42.5
1952,6,Bohuslav Karlik,TCH,55:10.9
1952,7,Erno Söptei,HUN,55:35.3
1952,8,Rune Blomqvist,SWE,55:41.3
1952,9,Jorma Kulo,FIN,56:28.2
1948,1,Stephen Lysak,USA,55:55.4
1948,2,Vaclav Havel,TCH,57:38.5
1948,3,Georges Dransart,FRA,58:00.8
1948,4,Karl Molnar,AUT,58:59.3
1948,5,Bert Oldershaw,CAN,59:48.4
1948,6,Gunnar Johansson,SWE,1:03:34.4
1936,1,Vaclav Motti,TCH,50:35.5
1936,2,Frank Saker,CAN,51:15.8
1936,3,Rupert Weinstabl,AUT,51:28.0
1936,4,Walter Schuur,GER,52:35.6
1936,5,Joseph Hasenfus,USA,57:06.2
