Year,Position,Name,NOC,Time/Distance/Points,Record
2016,1,Gabriella Szabo,HUN,1:31.482
2016,2,Sabrina Hering,GER,1:32.383
2016,3,Marharyta Makhneva,BLR,1:33.908
2016,4,Mariya Povkh,UKR,1:34.214
2016,5,Jaimee Lovett,NZL,1:35.198
2016,6,Emma Aastrand Jørgensen,DEN,1:36.057
2016,7,Jessica Walker,GBR,1:37.043
2016,8,Andreanne Langlois,CAN,1:37.733
2016,9,Marta Walczykiewicz,POL,1:37.658
2016,10,Inna Klinova,KAZ,1:39.419
2016,11,Ren Wenjun,CHN,1:40.071
2016,12,Manon Hostens,FRA,1:41.069
2016,13,Magdalena Garro,ARG,1:41.394
2016,14,Nikolina Moldovan,SRB,1:42.818
2012,1,Gabrielle Szabo,HUN,1:30.827
2012,2,Carolin Leonhardt,GER,1:31.298
2012,3,Iryna Pamialova,BLR,1:31.400
2012,4,Marta Walczykiewicz,POL,1:31.607
2012,5,Jessica Walker,GBR,1:33.055
2012,6,Teresa Portela,POR,1:33.453
2012,7,Yuliana Salakhova,RUS,1:33.459
2012,8,Marie Delattre-Demory,FRA,1:35.299
2012,-,Rachel Lovell,AUS,1:33.671
2012,-,Antonia Horvat-Panda,SRB,1:33.823
2012,-,Yu Lamei,CHN,1:34.004
2008,1,Fanny Fischer,GER,1:32.231
2008,2,Katalin Kovacs,HUN,1:32.971
2008,3,Lisa Oldenhof,AUS,1:34.704
2008,4,Beata Mikolajczyk,POL,1:34.752
2008,5,Beatriz Manchon,ESP,1:35.366
2008,6,Shinobu Kitamoto,JPN,1:36.465
2008,7,Michele Eray,RSA,1:36.724
2008,8,Stefania Cicali,ITA,1:36.770
2008,9,Xu Yaping,CHN,1:37.418
2008,-,Emilie Fournel,CAN,1:38.224
2004,1,Birgit Fischer,GER,1:34.340
2004,2,Katalin Kovacs,HUN,1:34.536
2004,3,Inna Osypenko,UKR,1:36.192
2004,4,Karolina Sadalska,POL,1:36.376
2004,5,Isabel Garcia,ESP,1:37.908
2004,6,Chantal Meek,AUS,1:38.116
2004,7,Xu Linbei,CHN,1:38.144
2004,8,Karen Furneaux,CAN,1:39.952
2004,9,Shinobu Kitamoto,JPN,1:40.188
2004,-,Carrie Johnson,USA,1:35.869
2000,1,Birgit Fischer,GER,1:34.53
2000,2,Szilvia Szabo,HUN,1:34.94
2000,3,Mariana Limbau,ROU,1:37.01
2000,4,Beata Sokolowska,POL,1:37.07
2000,5,Hanna Balabanova,UKR,1:37.544
2000,6,Olesya Bakunova,BLR,1:37.748
2000,7,Nataliya Guly,RUS,1:38.624
2000,8,Izaskun Aramburu,ESP,1:38.654
2000,9,Marie-Josee Gibeau,CAN,1:39.566
2000,-,Natalie Hunter,AUS,1:38.580
1996,1,Ramona Portwick,GER,1:31.077
1996,2,Daniela Baumer,SUI,1:32.701
1996,3,Agneta Andersson,SWE,1:32.917
1996,4,Xian Bangdi,CHN,1:33.089
1992,1,Eva Donusz,HUN,1:38.32
1992,2,Katrin Borchert,GER,1:38.47
1992,3,Agneta Andersson,SWE,1:39.79
1992,4,Viorica Iordache,ROU,1:41.02
1988,1,Birgit Schmidt,GDR,1:40.78
1988,2,Erika Geczi,HUN,1:41.88
1988,3,Vania Gesheva,BUL,1:42.63
1988,4,Irma Salomykova,URS,1:44.26
1988,5,Andrea Martin,FRG,1:45.62
1988,6,Agneta Andersson,SWE,1:45.67
1988,7,Birgitte Froberg,DEN,1:47.10
1988,8,Bozena Ksiazek,POL,1:47.40
1988,9,Cathy Marino-Geers,USA,1:47.94
1984,1,Agafia Constantin,ROU,1:38.34
1984,2,Agneta Andersson,SWE,1:38.87
1984,3,Alexandra Barre,CAN,1:39.40
1984,4,Sheila Conover,USA,1:40.49
1984,5,Josefa Idem,FRG,1:42.68
1984,6,Wenche Lægried,NOR,1:42.97
1984,7,Janine Lawler,GBR,1:46.30
