Year,Position,Name,NOC,Time/Distance/Points,Record
2008,2,Bradley Wiggins,GBR,4:16.977
2008,3,Hayden Roulston,NZL,4:19.611
2008,4,Steven Burke,GBR,4:20.947
2008,-,Aleksey Markov,RUS,4:24.149
2008, ,Volodymyr Dyudya,UKR,4:22.471
2008, ,Antonio Tauler,ESP,4:24.975
2008, ,Taylor Phinney,USA,4:26.644
2008, ,Aleksandr Serov,RUS,4:25.391
2008,-,Bradley McGee,AUS,4:26.084
2008,-,David O'Loughlin,IRL,4:26.102
2008,-,Sergi Escobar,ESP,4:26.102
2008,-,Brett Lancaster,AUS,4:26.139
2008,-,Jens Mouris,NED,4:27.445
2008,-,Vitaliy Popkov,UKR,4:30.321
2008,-,Fabian Sanchez,FRA,4:33.100
2008,-,Carlos Alzate,COL,4:35.154
2008,-,Alexandr Pliuschin,MDA,4:35.438
2008,-,Jenning Huizenga,NED,4:37.097
2004,2,Bradley Wiggins,GBR,4:16.304
2004,3,Bradley McGee,AUS,4:20.436
2004,4,Sergi Escobar,ESP,4:17.947
2004,-,Rob Hayles,GBR,4:22.291
2004, ,Volodymyr Dyudya,UKR,4:22.720
2004, ,Robert Bartko,GER,4:26.184
2004, ,Luke Roberts,AUS,4:20.336
2004, ,Fabien Sanchez,FRA,4:21.235
2004,-,Linas Balciunas,LTU,4:22.392
2004,-,Aleksey Markov,RUS,4:25.520
2004,-,Christian Lademann,GER,4:26.760
2004,-,Carlos Castano,ESP,4:27.871
2004,-,Vasil Kiryienko,BLR,4:29.005
2004,-,Yuriy Yuda,KAZ,4:29.676
2004,-,Hossein Asgari,IRI,4:39.302
2004, ,Levi Heimans,NED,dns
2000,2,Robert Bartko,GER,4:18.515
2000,3,Jens Lehmann,GER,4:23.824
2000,4,Bradley McGee,AUS,4:19.250
2000,-,Rob Hayles,GBR,4:19.613
2000,-,Philippe Gaumont,FRA,4:22.142
2000,-,Oleksandr Symonenko,UKR,4:23.983
2000,-,Sergiy Matveyev,UKR,4:25.380
2000,-,Walter Perez,ARG,4:30.757
2000,-,Luke Roberts,AUS,4:31.162
2000,-,Mariano Friedick,USA,4:31.241
2000,-,Vladimir Karpets,RUS,4:31.342
2000,-,Christian Vandevelde,USA,4:31.528
2000,-,Aleksey Markov,RUS,4:31.589
2000,-,Gary Anderson,NZL,4:32.304
2000,-,Franco Marvulli,SUI,4:34.000
2000,-,Antonio Tauler,ESP,4:34.415
2000,-,Vadim Kravchenko,KAZ,4:40.410
1996,2,Andrea Collinelli,ITA,4:20.893
1996,3,Philippe Ermenault,FRA,4:22.794
1996,-,Aleksey Markov,RUS,4:26.828
1996, ,Bradley McGee,AUS,4:26.121
1996,-,Juan Martinez,ESP,4:28.310
1996,-,Heiko Szonn,GER,4:31.583
1996,-,Andriy Yatsenko,UKR,overlapped
1996,-,Walter Perez,ARG,overlapped
1996,-,Kent Bostock,USA,4:33.008
1996,-,Arturas Kasputis,LTU,4:33.748
1996,-,Graeme Obree,GBR,4:34.297
1996,-,Robert Karsnicki,POL,4:35.193
1996,-,Gary Anderson,NZL,4:36.918
1996,-,Vadim Kravchenko,KAZ,4:37.212
1996,-,David George,RSA,4:39.531
1996,-,Phillip Collins,IRL,4:41.207
1996, ,Jukka Heinikainen,FIN,overtaken
1996, ,Peter Pieters,NED,overtaken
1992,2,Chris Boardman,GBR,overtaken
1992,-,Mark Kingsland,AUS,4:32.716
1992, ,Gary Anderson,NZL,4:31.061
1992,-,Philippe Ermenault,FRA,4:28.838
1992,-,Carl Sundquist,USA,overlapped
1992,-,Aleksandr Gonchenkov,EUN,overlapped
1992,-,Jan Bo Petersen,DEN,overlapped
1988,2,Gintautas Umaras,URS,4:32.00
1988,3,Dean Woods,AUS,4:34.90
1988,4,Bernd Dittert,GDR,4:34.17
1988,-,Colin Sturgess,GBR,4:34.90
1988,-,Gary Anderson,NZL,4:42.82
1988,-,Ryszard Dawidowicz,POL,4:39.44
1988,-,Peter Clausen,DEN,4:42.62
1988,-,Ivan Beltrami,ITA,overtaken
1988,-,Bruno Risi,SUI,4:44.38
1988,-,Thomas Dürst,FRG,4:45.20
1988,-,Jyrki Tujunen,FIN,4:46.65
1988,-,Gabriel Ovidio Curuchet,ARG,4:50.75
1988,-,Roman Cermak,TCH,overtaken
1988,-,David Brinton,GBR,4:47.27
1988,-,Miklos Somogyi,HUN,overtaken
1988,-,Erik Cent,NED,overtaken
1988,-,Jose Martiarena,ESP,4:54.39
1988,-,Patrick Matt,LIE,4:57.47
1988,-,Park Min-soo,KOR,4:58.57
1988,-,Antonio Silvestre,BRA,5:02.07
1988, ,Realdo Jessurun,SUR,overtaken
1988, ,Moustafa Chichi,IRI,overtaken
1984,2,Steve Hegg,USA,4:39.35
1984,3,Rolf Gölz,FRG,4:43.83
1984,4,Leonard Nitz,USA,4:44.03
1984,-,Dean Woods,AUS,4:44.08
1984,-,Jørgen V. Pedersen,DEN,4:46.65
1984,-,Jelle Nijdam,NED,4:52.98
1984,-,Pascal Robert,FRA,overtaken
1984,-,Michael Grenda,AUS,overtaken
1984,-,Rudi Ceyssens,BEL,4:29.53
1984,-,Roberto Calovi,ITA,4:50.11
1984,-,Shaun Wallace,GBR,4:50.80
1984,-,Jörg Müller,SUI,4:53.07
1984,-,Alex Stieda,CAN,4:51.75
1984,-,Carlos Garcia Gonzalez,URU,4:53.72
1984,-,Anthony Cuff,NZL,4:50.49
1984,-,Gabriel Ovidio Curuchet,ARG,4:51.04
1984,-,Gary Trevisiol,CAN,4:57.01
1984,-,Henning Larsen,DEN,4:58.17
1984,-,Maurizio Colombo,ITA,4:59.72
1984,-,Sixten Wackström,FIN,4:59.94
1984,-,Stephan Joho,SUI,5:00.30
1984,-,Hans Fischer,BRA,5:00.47
1984,-,William Palacio,COL,5:01.17
1984,-,Karl Krenauer,AUT,5:01.18
1984,-,Eric Louvel,FRA,5:01.52
1984,-,Stephen Bent,GBR,5:02.17
1984,-,Fernando Vera,CHI,5:02.53
1984,-,Balbino Jaramillo,COL,5:04.27
1984,-,Diomedes Panton,PHI,5:14.27
1984,-,Pedro Caino,ARG,overtaken
1984,-,Hsu Chin-Te,TPE,overtaken
