Year,Position,Name,NOC,Time/Distance/Points,Record
2016,1,Gong Jinjie,CHN,32.107
2016,2,Darya Shmelyova,RUS,32.401
2016,3,Miriam Welte,GER,32.636
2016,4,Anna Meares,AUS,32.658
2016,-,Elis Lightlee,NED,32.792
2016,-,Sandie Clair,FRA,33.517
2016,-,Kate O'Brien,CAN,33.684
2016,-,Tania Calvo Barbero,ESP,33.531
2016,-,Natasha Hansen,NZL,34.346
2012,1,Kristina Vogel,GER,32.798
2012,2,Gong Jinjie,CHN,rel
2012,3,Kaarle McCulloch,AUS,32.727
2012,4,Lyubov Shulika,UKR,33.491
2012,-,Yvonne Hijgenaar,NED,33.090
2012,-,Sandie Clair,FRA,33.707
2012,-,Victoria Pendleton,GBR,(32.567),dq
2012,-,Daniela Larreal Chirinos,VEN,34.415
2012,-,Lee Eun-ji,KOR,34.636
2012,-,Diana Garcia Orrego,COL,34.870
