Year,Position,Name,NOC,Time/Distance/Points,Record
2020,1,JPN,3.,KOR
2020,2,ROC,4.,CHN
2016,1,Yannick Borel,FRA,45
2016,2,Marco Fichera,ITA,31
2016,3,Gabor Boczko,HUN,39
2016,4,Anatolii Herey,UKR,37
2016,5,Jung Jinsun,KOR,45
2016,6,Max Heinzer,SUI,36
2016,7,Vadim Anokhin,RUS,36
2016,8,Silvio Fernandez,VEN,30
2016,-,Alexandre Camargo,BRA,25
2008,1,Fabrice Jeannet,FRA,45
2008,2,Robert Andrzejuk,POL,29
2008,3,Stefano Carozzo,ITA,45
2008,4,Dong Guotao,CHN,35
2008,5,Gabor Boczko,HUN,40
2008,6,Silvio Fernandez Briceno,VEN,25
2008,7,Dmytro Chumak,UKR,41
2008,8,Ju Hyunseung,KOR,39
2008,-,George Harrop-allin,RSA,28
2004,FRA,45,HUN,34
2004,GER,44,RUS,26
2000,FRA,45,ITA,44
2000,CUB,36,KOR,43
1996,ITA,45,RUS,45
1996,GER,44,FRA,42
1992,HUN,9,GER,8
1992,FRA,3,EUN,7
1988,FRA,9,FRG,8
1988,URS,5,ITA,7
1968,URS,9,HUN,9
1968,FRG,3,POL,5
1956,1,Giuseppe Delfino,ITA,3 - 0
1956,2,Jozsef Sakovics,HUN,2 - 1
1956,3,Armand Mouyal,FRA,1 - 2
1952,1,Dario Mangiarotti,ITA,3 - 0
1952,2,Bengt Ljundquist,SWE,2 - 1
1952,3,Otto Rüfenacht,SUI,1 - 2
1952,4,Emile Gretsch,LUX,0 - 3
1948,1,Henri Guerin,FRA,3 - 0
1948,2,Luigi Cantone,ITA,2 - 1
1948,3,Per Carleson,SWE,1 - 2
1948,4,Mogens Lüchow,DEN,0 - 3
1936,1,Saverino Ragno,ITA,3 - 0
1936,2,Hans Granfelt,SWE,2 - 1
1936,3,Michel Picheux,FRA,1 - 2
1936,4,Siegfried Lerdon,GER,0 - 3
1932,4,BEL,0 - 3,    
1928,1,Carlo Agostoni,ITA,3 - 0
1928,2,Armand Massard,FRA,2 - 1
1928,3,Paulo d'Eca Leal,POR,1 - 2
1928,4,Emile Barbier,BEL,0 - 3
1920,4,POR,2 - 2,    1 tied
1920,5,SUI,1 - 4,    
1920,6,USA,0 - 5,    
1920,7,GBR,*,    
1920,7,NED,*,    
1920,9,TCH,*,    
1920,9,DEN,*,    
1920,11,SWE,*,    
