Year,Position,Name,NOC,Time/Distance/Points,Record
2016,1,Artur Akhmatkhuzin,RUS,45
2016,2,Jeremy Cadot,FRA,41
2016,3,Miles Chamley-Watson,USA,45
2016,4,Giorgio Avola,ITA,31
2016,5,Chen Haiwei,CHN,45
2016,6,James-Andrew Davis,GBR,38
2016,7,Alaaeldin Abouelkassem,EGY,45
2016,8,Henrique Marques,BRA,39
2012,1,Valerio Aspromonte,ITA,45
2012,2,Kenta Chida,JPN,39
2012,3,Sebastian Bachmann,GER,45
2012,4,Miles Chamley-Watson,USA,27
2012,5,Artur Akhmatkhuzin,RUS,45
2012,6,James-Andrew Davis,GBR,35
2012,7,Lei Sheng,CHN,45
2012,8,Erwann le Pechoux,FRA,33
2012,-,Alaaeldin Abouelkassem,EGY,33
2004,ITA,45,CHN,45
2004,RUS,27,USA,35
2000,CHN,45,FRA,45
2000,ITA,32,POL,38
1996,RUS,45,POL,45
1996,CUB,44,AUT,38
1992,CUB,9,GER,8
1992,POL,7,HUN,5
1988,URS,8,FRG,9
1984,4,AUT,3,8:,BEL
1984,ITA,9,FRG,9
1984,FRA,7,AUT,3
1968,FRA,9,URS,8
1968,POL,7,ROU,8
1956,1,Edoardo Mangiarotti,ITA,3 - 0
1956,2,Christian d'Oriola,FRA,2 - 1
1956,3,Jozsef Gyuricza,HUN,1 - 2
1956,4,Albert Axelrod,USA,0 - 3
1952,1,Jehan Buhan,FRA,3 - 0
1952,2,Giancarlo Bergamini,ITA,2 - 1
1952,3,Endre Tilli,HUN,1 - 2
1952,4,Salah Dessouki,EGY,0 - 3
1952,-,Pierre Van Houdt,BEL,"0 - 2"
1952,-,Fulvio Galimi,ARG,0 - 2
1948,1,Andre Bonin,FRA,3 - 0
1948,2,Renzo Nostini,ITA,2 - 1
1948,3,Georges de Bourguignon,BEL,1 - 2
1948,4,Daniel Bukantz,USA,0 - 3
1936,1,Giulio Gaudini,ITA,3 - 0
1936,2,Jacques Coutrot,FRA,2 - 1
1936,3,Siegfried Lerdon,GER,1 - 2
1936,4,Hans Lion,AUT,0 - 3
1932,4,DEN,0 - 3,    
1932,5,MEX,*,    
1932,5,ARG,*,    
1928,1,Ugo Pignotti,ITA,3 - 0
1928,2,Lucien Gaudin,FRA,2 - 1
1928,3,Roberto Larraz,ARG,1 - 2
1920,4,DEN,1 - 3 (26 - 38),    
1920,5,GBR,0 - 4 (17 - 47),    
1920,6,BEL,*,    
1920,6,NED,*,    
1920,6,TCH,*,    
1904,1,Ramon Fonst Segundo,CUB/USA,7
1904,2,Charles Tatham,USA,2
