Year,Position,Name,NOC,Time/Distance/Points,Record
2012,1,Elisa Di Francisca,ITA,45
2012,2,Inna Deriglazova,RUS,31
2012,3,Jeon Hee-sook,KOR,45
2012,4,Astrid Guyart,FRA,32
2012,5,Sylwia Gruchala,POL,45
2012,6,Lee Kiefer,USA,39
2012,7,Kanae Ikehata,JPN,30
2012,8,Anna Bentley,GBR,21
2012,-,Eman El Gammal,EGY,34
2008,1,Svetlana Boyko,RUS,28
2008,2,Emily Cross,USA,11
2008,3,Margherita Granbassi,ITA,32
2008,4,Edina Knapek,HUN,23
2008,5,Carolin Golubytskyi,GER,34
2008,6,Huang Jialing,CHN,28
2008,7,Karolina Chlewinska,POL,45
2008,8,Eman El Gammal,EGY,14
2000,ITA,45,POL,45
2000,USA,38,GER,34
1996,ITA,45,ROU,45
1996,HUN,42,GER,33
1992,GER,9,ITA,9
1992,EUN,4,ROU,3
1988,ITA,9,FRG,9
1988,HUN,3,URS,3
1984,1,Christiane Weber,FRG,9
1984,2,Aurora Dan,ROU,5
1984,3,Laurence Modaine,FRA,9
1984,4,Dorina Vaccaroni,ITA,7
1984,5,Luan Jujie,CHN,9
1984,6,Vincent Bradford,USA,5
1968,1,Yelena Novikova,URS,9
1968,2,Ildiko Ujlaki-Rejtö,HUN,3
1968,3,Ecaterina Stahl-Iencic,ROU,8
1968,4,Catherine Ceretti,FRA,8
