Year,Position,Name,NOC,Time/Distance/Points,Record
2020,1,BUL,2.,ROC
2020,2,ROC,3.,ITA
2016,1,Vera Biriukova,RUS,36.233
2016,2,Alessandra Aguilar,ESP,35.766
2016,3,Reneta Kamberova,BUL,35.766
2016,4,Martina Centofanti,ITA,35.549
2016,5,Hanna Dudzenkova,BLR,35.300
2016,6,Yuval Filo,ISR,34.549
2016,7,Olena Dmytrash,UKR,34.282
2016,8,Airi Hatakeyama,JPN,34.200
2016,-,Morgana Gmach,BRA,32.649
2016,-,Natalie Hermann,GER,32.400
2016,-,Bao Yuqing,CHN,32.133
2016,-,Samira Amirova,UZB,31.166
2016,-,Ioanna Anagnostopoulou,GRE,30.416
2016,-,Kiana Eide,USA,30.224
2012,1,Anastasia Bliznyuk,RUS,57.000
2012,2,Maryna Hancharova,BLR,55.500
2012,3,Elisa Blanchi,ITA,55.450
2012,4,Loreto Achaerandio,ESP,54.950
2012,5,Olena Dmytrash,UKR,54.375
2012,6,Reneta Kamberova,BUL,54.375
2012,7,Natsuki Fukase,JPN,54.100
2012,8,Moran Buzovski,ISR,53.400
2012,-,Eleni Doika,GRE,51.875
2012,-,Mira Bimperling,GER,49.650
2012,-,Katrina Cameron,CAN,48.025
2012,-,Georgina Cassar,GBR,48.000
2008,4,ITA,"34,425",    
2008,5,BUL,"33,550",    
2008,6,ISR,"32,100",    
2008,7,AZE,"31,575",    
2008,8,UKR,"31,100",    
2004,1,Olesia Beluguina,RUS,51.100
2004,2,Elisa Blanchi,ITA,49.450
2004,3,Zhaneta Ilieva,BUL,48.600
2004,4,Nataliya Aleksandrova,BLR,48.000
2004,5,Liana Khristidou,GRE,46.525
2004,6,Dai Yongjun,CHN,46.500
2004,7,Sonia Abejon,ESP,45.350
2004,8,Larissa Barata,BRA,44.400
2004,-,Mariya Bila,UKR,42.150
2004,-,Justyna Banasiak,POL,41.775
2000,1,Elena Chalamova,RUS,39.500
2000,2,Anna Glazkova,BLR,39.500
2000,3,Anna Polatou,GRE,39.283
2000,4,Annika Seibel,GER,38.899
2000,5,Ayako Inada,JPN,38.550
2000,6,Arianna Rusca,ITA,38.483
2000,7,Eleonora Kezhova,BUL,38.432
2000,8,Alessandra Guidugli,BRA,38.266
2000,-,Anne-Sophie Doyen,FRA,37.900
2000,-,Igone Arribas,ESP,37.849
1996,4,FRA,"38,199",    
1996,5,CHN,"37,999",    
1996,6,BLR,"37,982",    
