Year,Position,Name,NOC,Time/Distance/Points,Record
2016,1, Ri Se-gwang,PRK,15.691
2016,2, Denis Abliazin,RUS,15.516
2016,3, Kenzo Shirai,JPN,15.449
2016,4, Marian Dragulescu,ROU,15.449
2016,5, Oleg Verniaiev,UKR,15.316
2016,5, Nikita Nagornyy,RUS,15.316
2016,7, Tomas Gonzalez,CHI,15.137
2016,8, Igor Radivilov,UKR,15.033
2016,-,Sergio Sasaki Junior,BRA,15.016
2016,-,Jacob Dalton,USA,14.633
2016,-,Artur Davtyan,ARM,14.566
2016,-,Benjamin Gischard,SUI,14.516
2016,-,Andrei Vasile Muntean,ROU,14.483
2016,-,Scott Morgan,CAN,14.470
2016,-,Robert Tvorogal,LTU,13.849
2016,-,Mikhail Koudinov,NZL,13.799
2016,-,Kim Hansol,KOR,13.749
2012,1, Yang Hak-seon,KOR,16.533
2012,2, Denis Ablyazin,RUS,16.399
2012,3, Igor Radivilov,UKR,16.316
2012,4, Enrique Tomas Gonzalez Sepulveda,CHI,16.183
2012,5, Samuel Mikulak,USA,16.050
2012,6, Isaac Botella Perez,ESP,15.866
2012,7, Flavius Koczi,ROU,15.633
2012,8, Kristian Thomas,GBR,15.533
2012,-,Dzmitry Kaspiarovich,BLR,15.666
2012,-,Matteo Angioletti,ITA,15.583
2012,-,Oleg Verniaiev,UKR,15.549
2012,-,Mohamed El Saharty,EGY,15.483
2012,-,Wai Hung Shek,HKG,15.466
2012,-,Jacob Dalton,USA,15.333
2012,-,Artur Davtyan,ARM,14.833
2012,-,Kim Soomyun,KOR,14.412
2012,-,Koji Yamamuro,JPN,14.266
2008,1, Leszek Blanik,POL,16.537
2008,2, Thomas Bouhail,FRA,16.537
2008,3, Anton Golotsutskov,RUS,16.475
2008,4, Marian Dragulescu,ROU,16.225
2008,5, Benoit Caranobe,FRA,16.062
2008,6, Dmitry Kasperovich,BLR,16.050
2008,7, Flavius Koczi,ROU,15.925
2008,8, Isaac Botella Perez,ESP,15.737
2008,-,Kyle Shewfelt,CAN,16.050
2008,-,Fabian Hambüchen,GER,16.037
2008,-,Vlasis Maras,GRE,15.987
2008,-,Matteo Angioletti,ITA,15.887
2008,-,Luis Rivera,PUR,15.712
2008,-,Yang Tae-young,KOR,15.525
2008,-,Ilie Daniel Popescu,ROU,15.262
2008,-,Nashwan Al Harazi,YEM,15.250
2004,1, Gervasio Deferr,ESP,9.737
2004,2, Evgeni Sapronenko,LAT,9.706
2004,3, Marian Dragulescu,ROU,9.612
2004,4, Kyle Shewfelt,CAN,9.599
2004,5, Filip Yanev,BUL,9.581
2004,6, Robert Gal,HUN,9.537
2004,7, Li Xiaopeng,CHN,9.368
2004,8, Alexey Bondarenko,RUS,4.550
2004,-,Benoit Caranobe,FRA,9.506
2004,-,Razvan Dorin Selariu,ROU,9.469
2004,-,Yernar Yerimbetov,KAZ,9.431
2004,-,Anton Golotsutskov,RUS,9.425
2004,-,Igors Vihrovs,LAT,9.363
2004,-,Eric Lopez Rios,CUB,9.356
2004,-,Cho Seong-min,KOR,9.306
2004,-,Vadym Kuvakin,UKR,9.288
2004,-,Matthias Fahrig,GER,9.244
2004,-,Ri Jong-song,PRK,9.175
2004,-,Abel Driggs Santos,CUB,9.156
2000,1, Gervasio Deferr,ESP,9.712
2000,2, Alexey Bondarenko,RUS,9.587
2000,3, Leszek Blanik,POL,9.475
2000,4, Alexei Nemov,RUS,9.456
2000,5, Sergey Fedorchenko,KAZ,9.399
2000,6, Blaine Wilson,USA,9.362
2000,7, Ioannis Melissanidis,GRE,9.262
2000,8, Dieter Rehm,SUI,9.006
2000,-,Paul Hamm,USA,9.700
2000,-,Cho Seong-min,KOR,9.700
2000,-,Yeo Hong-chul,KOR,9.687
2000,-,Oleksandr Beresh,UKR,9.675
2000,-,Yang Wei,CHN,9.675
2000,-,Akihiro Kasamatsu,JPN,9.662
2000,-,Kenichi Fujita,JPN,9.662
2000,-,Jung Jin-soo,KOR,9.650
2000,-,Sean Townsend,USA,9.650
2000,-,Marian Dragulescu,ROU,9.637
2000,-,Rares Orzata,ROU,9.637
2000,-,Jan-Peter Nikiferow,GER,9.625
2000,-,Nikolay Kryukov,RUS,9.612
2000,-,Naoya Tsukahara,JPN,9.612
2000,-,Igors Vihrovs,LAT,9.587
2000,-,Florentin Pescaru,ROU,9.587
2000,-,Maxim Alechine,RUS,9.575
2000,-,Kyle Shewfelt,CAN,9.575
2000,-,Valeriy Pereshkura,UKR,9.562
2000,-,Yoshihiro Saito,JPN,9.562
2000,-,Roman Zozulya,UKR,9.562
2000,-,Eric Lopez Rios,CUB,9.537
2000,-,Valeriy Goncharov,UKR,9.537
2000,-,Zheng Lihui,CHN,9.512
2000,-,Oleksandr Svitlychnyy,UKR,9.512
2000,-,Raouf Abdelraouf,EGY,9.462
2000,-,Norimasa Iwai,JPN,9.450
2000,-,Flemming Solberg,NOR,9.400
2000,-,Evgueni Podgornyi,RUS,9.387
2000,-,Mladen Stefanov,BUL,9.387
2000,-,Omar Cortes,ESP,9.350
2000,-,Organ Hamm M,USA,9.350
2000,-,Yordan Iovtchev,BUL,9.350
2000,-,Ivan Ivankov,BLR,9.350
2000,-,Ivan Pavlovsky,BLR,9.350
2000,-,Ioan Suciu,ROU,9.350
2000,-,Dimitar Lountchev,BUL,9.337
2000,-,Lazaro Lamelas,CUB,9.312
2000,-,Aleksei Sinkevich,BLR,9.312
2000,-,Yann Cucherat,FRA,9.312
2000,-,Igor Cassina,ITA,9.300
2000,-,Lin Yung-hsi,TPE,9.287
