Year,Position,Name,NOC,Time/Distance/Points,Record
2016,ARG,4,GER,5
2016,BEL,2,4.,NED,4
2016,-,3,ARG,5
2016,-,1,GER,2
2012,GER,2,AUS,3
2012,NED,1,4.,GBR,1
2012,-,4,NED,9
2008,ESP,0,4.,NED,2
2008,-,4,ESP,3
2008,-,3,AUS,2
2004,AUS,2,GER,4
2004,NED,1,4.,ESP,3
2004,-,3,AUS,6
2000,NED,8,AUS,6
2000,KOR,7,4.,PAK,3
2000,-,5,KOR,1
2000,-,4,PAK,0
1996,NED,3,AUS,3
1996,ESP,1,4.,GER,2
1996,-,2,NED,3
1992,GER,2,PAK,4
1992,AUS,1,4.,NED,3
1992,-,3,GER,2
1988,GBR,3,NED,2
1988,FRG,1,4.,AUS,1
1988,-,2,NED,1
1984,PAK,2,GBR,3
1984,FRG,1,4.,AUS,2
1984,-,0,GBR,0
1980,IND,4,URS,2
1980,ESP,3,4.,POL,1
1980,-,7,POL,4
1980,-,1,TAN,0
1976,NZL,1,PAK,3
1976,AUS,0,4.,NED,2
1976,-,2,AUS,2
1972,FRG,1,IND,2
1972,PAK,0,4.,NED,1
1972,-,3,PAK,2
1968,PAK,2,IND,2
1968,AUS,1,4.,FRG,1
1964,IND,1,AUS,3
1964,PAK,0,4.,ESP,2
1964,-,3,IND,3
1960,PAK,1,ESP,2
1960,IND,0,4.,GBR,1
1956,IND,1,GER,3
1956,PAK,0,4.,GBR,1
1952,IND,6,GBR,2
1952,NED,1,4.,PAK,1
1952,-,3,NED,1
1948,IND,4,NED,1
1948,GBR,0,4.,PAK,1
1948,-,2,IND,2
1936,IND,8,NED,4
1936,GER,1,4.,FRA,3
1936,-,10,GER,3
1936,-,0,NED,0
1928,IND,3,GER,3
1928,NED,0,4.,BEL,0
1920,4,FRA,0-3 (3-12),    
1908,-,GER,1 - 0 - 1 (1 - 4),    
1908,-,FRA,0 - 0 - 2 (1 - 11),    
