Year,Position,Name,NOC,Time/Distance/Points,Record
2016,GBR,5,GER,2
2016,NED,3,4.,NZL,1
2016,-,1,GBR,3
2012,NED,2,GBR,3
2012,ARG,0,4.,NZL,1
2012,-,5,ARG,2
2012,-,3,GBR,1
2008,NED,2,ARG,3
2008,CHN,0,4.,GER,1
2008,ARG,3,5.,AUS,2
2004,GER,2,ARG,1
2004,NED,1,4.,CHN,0
2004,-,4,NED,4
2004,-,3,ARG,2
2000,AUS,3,NED,2
2000,ARG,1,4.,ESP,0
2000,ESP,0,ARG,3
1996,AUS,3,NED,0
1996,KOR,1,4.,GBR,0
1992,ESP,2,GBR,4
1992,GER,1,4.,KOR,3
1988,AUS,2,NED,3
1988,KOR,0,4.,GBR,1
1988,-,3,KOR,1
1984,4,AUS,2 - 1 - 2,    9 - 7
1984,5,CAN,2 - 1 - 2,    9 - 11
1984,6,NZL,0 - 0 - 5,    2 - 12
1980,4,IND,2 - 1 - 2,    9 - 6
1980,5,AUT,2 - 0 - 3,    6 - 11
1980,6,POL,0 - 0 - 5,    0 - 18
