Year,Position,Name,NOC,Time/Distance/Points,Record
2020,2,Distria Krasniqi,KOS,0-1
2020,3,Funa Tonaki,JPN,0-0
2016,2,Paula Pareto,ARG,010
2016,3,Jeong Bo-kyeong,KOR,000
2016, ,Ami Kondo,JPN,001
2016,-,Urantsetseg Munkhbat,MGL,000
2016, ,Otgontsetseg Galbadrakh,KAZ,100
2016, ,Dayaris Mestre Alvarez,CUB,000
2016,-,Sarah Menezes,BRA,000
2016,-,Eva Csernoviczki,HUN,000
2016,-,Laetitia Payet,FRA,000
2016,-,Tu Ngoc Van,VIE,000
2016,-,Charline van Snick,BEL,000
2016,-,Julia Figueroa,ESP,000
2016,-,Irina Dolgova,RUS,000
2016,-,Maryna Cherniak,UKR,000
2016,-,Edna Carrillo,MEX,000
2016,-,Taciana Lima,GBS,010
2016,-,Chloe Rayner,AUS,000
2016,-,Valentina Moscatt,ITA,000
2016,-,Monica Ungureanu,ROU,000
2016,-,Asaramanitra Ratiarison,MAD,000
2016,-,Kim Sol-mi,PRK,000
2016,-,Shira Rishony,ISR,000
2016,-,Dilara Lokmanhekim,TUR,000
2012,2,Sarah Menezes,BRA,0 - 1 - 1
2012,3,Alina Alexandra Dumitru,ROU,0 - 0 - 0
2012, ,Charline van Snick,BEL,0 - 0 - 1
2012,-,Paula Pareto,ARG,0 - 0 - 0
2012, ,Eva Csernoviczki,HUN,1 - 0 - 0
2012, ,Tomoko Fukumi,JPN,0 - 0 - 0
2012,-,Urantsetseg Munkhbat,MGL,0 - 0 - 0
2012,-,Wu Shugen,CHN,0 - 0 - 0
2012,-,Kelly Edwards,GBR,0 - 0 - 0
2012,-,Elena Moretti,ITA,0 - 0 - 0
2012,-,Dayaris Mestre Alvarez,CUB,0 - 0 - 0
2012,-,Alexandra Podryadova,KAZ,0 - 0 - 0
2012,-,Laetitia Payet,FRA,0 - 0 - 0
2012,-,Lisa Kearney,IRL,0 - 0 - 1
2012,-,Chung Jung-yeon,KOR,0 - 0 - 0
2012,-,Birgit Ente,NED,0 - 0 - 0
2012,-,Oiana Blanco,ESP,0 - 0 - 0
2012,-,Nataliya Kondratyeva,RUS,0 - 0 - 0
2012,-,Tu Ngoc Van,VIE,0 - 0 - 0
2008,2,Alina Alexandra Dumitru,ROU,1-1-0-0
2008,3,Yanet Bermoy Acosta,CUB,0-0-0-0
2008, ,Paula Pareto,ARG,0-1-0-0
2008,-,Pak Ok-song,PRK,0-0-0-1
2008, ,Ryoko Tani,JPN,1-0-0-0
2008, ,Lyudmila Bogdanova,RUS,0-0-0-0
2008,-,Eva Csernoviczki,HUN,0-0-0-1
2008,-,Ana Hormigo,POR,0-0-0-1
2008,-,Wu Shugen,CHN,0-0-0-1
2008,-,Kim Young-ran,KOR,0-0-0-0
2008,-,Kelbet Nurgazina,KAZ,0-0-0-1
2008,-,Michaela Baschin,GER,0-0-0-0
2008,-,Sayaka Matsumoto,USA,0-0-0-0
2008,-,Glenda Miranda,ECU,0-0-0-0
2008,-,Kim Youngran,KOR,0-0-0-0
2008,-,Tiffany Day,AUS,0-0-0-0
2008,-,Lyudmyla Lusnikova,UKR,0-0-0-0
2008,-,Hanatou Ouelogo K,BUR,0-0-0-0
2008,-,Meriem Moussa,ALG,0-0-0-0
2008,-,Chahnez Mbarki,TUN,0-0-0-0
2008,-,Sarah Menezes,BRA,0-0-0-0
2008,-,Khumujam Devi,IND,0-0-0-0
2008,-,Frederique Jossinet,FRA,0-0-0-0
2008,-,Sandrine Ilendou,GAB,0-0-0-0
2004,2,Ryoko Tani,JPN,0-1-1-2
2004,3,Frederique Jossinet,FRA,0-0-0-1
2004, ,Julia Matijass,GER,1-0-0-0
2004,-,Maria Karagiannopoulou,GRE,0-0-0-0
2004, ,Gao Feng,CHN,1-0-1-0
2004, ,Alina Alexandra Dumitru,ROU,0-1-1-0
2004,-,Anna Zemla-Krajewska,POL,0-0-0-0
2004,-,Ye Gue-rin,KOR,0-0-0-1
2004,-,Tatyana Shishkina,KAZ,0-0-0-0
2004,-,Soraya Haddad,ALG,0-0-0-0
2004,-,Tatiana Moskvina,BLR,0-0-0-0
2004,-,Carolyne Lepage,CAN,0-0-0-0
2004,-,Sonya Chervonsky,AUS,0-0-0-0
2004,-,Lyubov Bruletova,RUS,0-0-0-0
2004,-,Yamila Zambrano,CUB,0-0-0-0
2004,-,Giuseppina Macri,ITA,0-0-0-0
2004,-,Nese Sensoy Yildiz,TUR,0-0-0-1
2004,-,Konkiswinde Ouelogo,BUR,0-0-0-0
2004,-,Lisseth Orozco,COL,0-0-1-1
2004,-,Bertille Ali,CAF,0-0-0-0
2004,-,Daniela Polzin,BRA,0-0-0-0
2004,-,Ri Kyong-ok,PRK,0-0-2-1
2000,2,Ryoko Tamura,JPN,ippon
2000, ,Anna-Maria Gradante,GER,ippon
2000,-,Zhao Shunxin,CHN,0
2000, ,Ann Simons,BEL,0
2000, ,Cha Hyon-hyang,PRK,0
2000,-,Sarah Nichollo-Rosso,FRA,winner
2000,-,Amarilys Savon Carmenate,CUB,winner
2000,-,Lyubov Bruletova,RUS,winner
2000,-,Lyudmyla Lusnikova,UKR,winner
2000,-,Vanesa Arenas,ESP,winner
2000,-,Adriana Angeles,MEX,winner
2000,-,Laura Moise,ROU,winner
2000,-,Victoria Dunn,GBR,winner
1996,2,Kye Sun-hui,PRK,koka
1996, ,Amarilys Savon Carmenate,CUB,waza-ari
1996, ,Yolanda Soler Grajera,ESP,koka
1996,-,Salima Souakri,ALG,winner
1996,-,Sarah Nichilo,FRA,winner
1996,-,Tatiana Moskvina,BLR,winner
1996,-,Malgorzata Roszkowska,POL,winner
1996,-,Joyce Heron,GBR,winner
1996,-,Ryoko Tamura,JPN,winner
1996,-,Hillary Wolf,USA,winner
1996,-,Giovanna Tortora,ITA,winner
1996,-,Yu Shu-Chen,TPE,winner
1996,-,Tamara Meijer,NED,winner
1992,2,Cecile Nowak,FRA,Koka
1992, ,Hulya Senyurt,TUR,Waza-ari
1992, ,Amarilys Savon Carmenate,CUB,Ippon
