Year,Position,Name,NOC,Time/Distance/Points,Record
1992,1,Maciej Czyzowicz,POL,16018
1992,2,Anatoly Starostin,EUN,15924
1992,3,Gianluca Tiberti,ITA,15760
1992,4,Robert Stull,USA,15649
1992,5,Attila Mizser,HUN,15571
1992,6,Graham Brookehouse,GBR,15571
1992,7,Sebastien Deleigne,FRA,15441
1992,8,Håkan Norebrink,SWE,15428
1992,9,Petr Blazek,TCH,15002
1992,10,Ivan Ortega,MEX,14934
1992,11,Dirk Knappheide,GER,14931
1992,12,Jesus Centeno,ESP,14860
1992,13,Lee Young-chan,KOR,14716
1992,14,Moustafa Adam,EGY,14517
1992,15,Gintaras Staskevicius,LTU,14320
1992,16,Gavin Lackey,AUS,13984
1992,17,Kirils Medjancevs,LAT,13753
1988,1,Janos Martinek,HUN,15886
1988,2,Carlo Massullo,ITA,15571
1988,3,Richard Phelps,GBR,15276
1988,4,Christophe Ruer,FRA,15268
1988,5,Vakhtang Lagorashvili,URS,15214
1988,6,Milan Kadlec,TCH,15043
1988,7,Peter Steinmann,SUI,14863
1988,8,Ivar Sisniega,MEX,14785
1988,9,Maciej Czyzowicz,POL,14636
1988,10,Marcus Marsollek,FRG,14531
1988,11,Lawrence Keyte,CAN,14309
1988,12,Svante Rasmuson,SWE,14205
1988,13,Mohamed Abouelsouad,EGY,14113
1988,14,Kim Myung-gon,KOR,14027
1988,15,Ahmed Al Doseri,BRN,13743
1988,16,Robert Nieman,USA,13645
1988,17,Hiroshi Saito,JPN,13120
1988,18,Julio Fuentes,CHI,12797
1988, ,Eduardo Quesada,ESP,dq
1984,1,Daniele Masala,ITA,16066
1984,2,Michael Storm,USA,15568
1984,3,Paul Four,FRA,15565
1984,4,Andy Jung,SUI,15343
1984,5,Ivar Sisniega,MEX,15283
1984,6,Achim Bellmann,FRG,15028
1984,7,Richard Phelps,GBR,14894
1984,8,Jorge Quesada,ESP,14891
1984,9,Pasi Hulkkonen,FIN,14827
1984,10,Svante Rasmuson,SWE,14464
1984,11,Shoji Uchida,JPN,13920
1984,12,Ihab El-Lebedy,EGY,13908
1984,13,Saleh Farhan Faraj,BRN,13866
1984,14,Alexander Watson,AUS,13839
1984,15,Chung Kyung-hoon,KOR,13246
1984,16,Luis Monteiro,POR,12738
1984,17,Michael Billwein,AUT,11874
1980,1,Anatoly Starostin,URS,16126
1980,2,Tamas Szombathelyi,HUN,15912
1980,3,Svante Rasmuson,SWE,15845
1980,4,Janusz Pyciak-Peciak,POL,15634
1980,5,Paul Four,FRA,15345
1980,6,Milan Kadlec,TCH,15339
1980,7,Heikki Hulkkonen,FIN,15087
1980,8,Robert Nightingale,GBR,15062
1980,9,Federico Galera,ESP,14699
1980,10,Simeon Monev,BUL,14545
1980,11,Dumitru Spirlea,ROU,14390
1980,12,Jerome Hartigan,IRL,13295
1976,1,Adrian Parker,GBR,15559
1976,2,Jan Bartu,TCH,15451
1976,3,Tamas Kancsal,HUN,15395
1976,4,Janusz Pyciak-Peciak,POL,15343
1976,5,John Fitzgerald,USA,15285
1976,6,Daniele Masala,ITA,15031
1976,7,Risto Hurme,FIN,15000
1976,8,Hans Lager,SWE,14946
1976,9,Alain Cortes,FRA,14834
1976,10,Stoyan Zlatev,BUL,14824
1976,11,Walter Esser,FRG,14429
1976,12,Shoji Uchida,JPN,14234
1976,13,John Hawes,CAN,12772
1976, ,Pavel Lednyov,URS,dq
1972,1,Boris Onyshenko,URS,15968
1972,2,Andras Balczo,HUN,15348
1972,3,Risto Hurme,FIN,14812
1972,4,Charles Richards,USA,14802
1972,5,Björn Ferm,SWE,14708
1972,6,Heiner Thade,FRG,14682
1972,7,Michel Gueguen,FRA,14559
1972,8,Ryszard Wach,POL,14285
1972,9,Jeremy Fox,GBR,14257
1972,10,Mario Medda,ITA,13913
1972,11,Wolfgang Leu,AUT,13865
1972,12,Dumitru Spirlea,ROU,13655
1972,13,Masaru Sakano,JPN,13569
1972,14,Jørn Steffensen,DEN,13547
1972,15,Urs Hugi,SUI,13359
1972,16,Georgi Stoyanov,BUL,12957
1972,17,Gilberto Toledano,MEX,12901
1972,18,Jan Bekkenk,NED,12340
1972,19,Scott Scheuermann,CAN,11335
1968,1,Andras Balczo,HUN,14325
1968,2,Pavel Lednyov,URS,14248
1968,3,Raoul Gueguen,FRA,13289
1968,4,James Moore,USA,13280
1968,5,Seppo Aho,FIN,13238
1968,6,Karl-Heinz Kutschke,GDR,13167
1968,7,Yuso Makihira,JPN,13083
1968,8,Jeremy Fox,GBR,12893
1968,9,Mario Medda,ITA,12601
