Year,Position,Name,NOC,Time/Distance/Points,Record
2020,1,Ancuta Bodnar,ROU,6:41.03
2020,2,Brooke Donoghue,NZL,6:44.82
2020,3,Roos de Jong,NED,6:45.73
2016,1,Magdalena Fularczyk-Kozlowska,POL,7:40.10
2016,2,Victoria Thornley,GBR,7:41.05
2016,3,Donata Vistartaite,LTU,7:43.76
2016,4,Aikaterini Nikolaidou,GRE,7:48.62
2016,5,Helene Lefebvre,FRA,7:52.03
2016,6,Meghan O'Leary,USA,8:06.18
2016,7,Marie-Catherine Arnold,GER,7:39.82
2016,8,Yuliya Bichyk,BLR,7:40.48
2016,9,Sally Kehoe,AUS,7:42.30
2016,10,Kristyna Fleissnerova,CZE,7:43.77
2016,11,Lyu Yang,CHN,7:45.68
2016,12,Eve Macfarlane,NZL,7:50.74
2016,-,Lisbet Falch Jakobsen,DEN,7:04.35
2012,1,Anna Watkins,GBR,6:55.82
2012,2,Kimberley Crow,AUS,6:58.55
2012,3,Magdalena Fularczyk,POL,7:07.92
2012,4,Wang Min,CHN,7:08.92
2012,5,Fiona Paterson,NZL,7:09.82
2012,6,Margot Shumway,USA,7:10.54
2012,7,Lenka Antosova,CZE,7:24.93
2012,8,Inge Janssen,NED,7:29.57
2012,9,Tina Manker,GER,7:33.32
2012,10,Anna Kravchenko,UKR,7:36.65
2008,1,Georgina Evers-Swindell,NZL,7:07.32
2008,2,Annekatrin Thiele,GER,7:07.33
2008,3,Elise Laverick,GBR,7:07.55
2008,4,Li Qin,CHN,7:15.85
2008,5,Megan Kalmoe,USA,7:17.53
2008,6,Miroslava Knapkova,CZE,7:25.09
2008,7,Kateryna Tarasenko,UKR,7:17.82
2008,8,Catriona Sens,AUS,7:19.73
2008,9,Ionelia Neacsu,ROU,7:20.99
2008,10,Laura Schiavone,ITA,7:29.22
2004,1,Georgina Evers-Swindell,NZL,7:01.79
2004,2,Peggy Waleska,GER,7:02.78
2004,3,Sarah Winckless,GBR,7:07.58
2004,4,Anet-Jaqueline Buschmann,BUL,7:13.97
2004,5,Camelia Macoviciuc-Mihalcea,ROU,7:17.58
2004,6,Nataliya Guba,UKR,7:21.78
2004,7,Caroline Delas,FRA,6:52.55
2004,8,Elisabetta Sancassani,ITA,6:54.51
2004,9,Donna Martin,AUS,6:55.17
2004,10,Olga Samulenkova,RUS,7:02.25
2000,1,Jana Thieme,GER,6:55.44
2000,2,Pieta van Dishoeck,NED,7:00.36
2000,3,Birute Sakickiene,LTU,7:01.71
2000,4,Carol Skricki,USA,7:02.61
2000,5,Elisabeta Lipa,ROU,7:05.05
2000,6,Marina Hatzakis,AUS,7:05.35
2000,7,Caroline Lüthi,SUI,7:02.82
2000,8,Celine Garcia,FRA,7:04.73
2000,9,Frances Houghton,GBR,7:07.62
2000,10,Sun Guangxia,CHN,7:23.74
1996,1,Kathleen Heddle,CAN,6:56.84
1996,2,Cao Mianying,CHN,6:58.35
1996,3,Irene Eijs,NED,6:58.72
1996,4,Marina Hatzakis,AUS,7:01.26
1996,5,Manuela Lutze,GER,7:04.14
1996,6,Philippa Baker,NZL,7:09.92
1996,7,Kristine Bjerknes,NOR,6:53.31
1996,8,Olena Reutova,UKR,6:53.96
1996,9,Michelle Knox-Zaloom,USA,6:58.78
1996,10,Daniela Oronova,BUL,7:00.14
1996,11,Sanita Ozolina,LAT,7:06.47
1996,12,Erika Bello,ITA,7:16.54
1996,-,Dolores Amaya,ARG,8:09.24
1996,-,Min Byung-Soon,KOR,8:44.34
1992,1,Kerstin Köppen,GER,6:49.00
1992,2,Veronica Cochela,ROU,6:51.47
1992,3,Gu Xiaoli,CHN,6:55.16
1992,4,Philippa Baker,NZL,6:56.81
1992,5,Annabel Eyres,GBR,7:06.62
1992,6,Sariya Zakirova,EUN,7:09.45
1992,7,Daniela Oronova,BUL,7:04.19
1992,8,Jennifer Luff,AUS,7:05.91
1988,1,Birgit Peter,GDR,7:00.48
1988,2,Elisabeta Lipa,ROU,7:04.36
1988,3,Violeta Ninova,BUL,7:06.03
1988,4,Marina Zhukova,URS,7:12.67
1984,1,Marioara Popescu,ROU,3:26.75
1984,2,Greet Hellemans,NED,3:29.13
1984,3,Daniele Laumann,CAN,3:29.82
1984,4,Carina Gustavsson,SWE,3:30.79
1984,5,Solfrid Johansen,NOR,3:32.09
1984,6,Julia Geer,USA,3:32.33
1984,7,Inge Niedermayer,AUT,3:36.20
1984,8,Sally Bloomfield,GBR,3:40.08
1980,1,Yelena Khloptseva,URS,3:16.27
1980,2,Cornelia Linse,GDR,3:17.63
1980,3,Olga Homeghi,ROU,3:18.91
1980,4,Svetla Otsetova,BUL,3:23.14
1980,5,Hanna Jarkiewicz,POL,3:27.25
1980,6,Ilona Bata,HUN,3:35.70
1980,-,Sue Handscomb,GBR,3:33.32
1976,1,Svetla Otsetova,BUL,3:44.36
1976,2,Sabine Jahn,GDR,3:47.86
1976,3,Leonora Kaminskaite,URS,3:49.93
1976,4,Solfrid Johansen,NOR,3:52.18
1976,5,Jan Palchikoff,USA,3:58.25
1976,6,Cheryl Howard,CAN,4:06.23
1976,7,Andrea Vissers,NED,4:03.37
1976,8,Miluse Neffova,TCH,4:03.66
1976,9,Josiane Rabiller,FRA,4:05.16
1976,10,Renate Sigl,AUT,4:11.38
