Year,Position,Name,NOC,Time/Distance/Points,Record
1992,1,Viorel Talapan,ROU,5:59.37
1992,2,Uwe Kellner,GER,6:00.34
1992,3,Jacek Streich,POL,6:03.37
1988,1,Frank Klawonn,GDR,6:10.74
1988,2,Dimitrie Popescu,ROU,6:13.58
1988,3,George Keys,NZL,6:15.78
1988,4,Adam Clift,GBR,6:18.08
1988,5,John Terwilliger,USA,6:18.47
1988,6,Sead Marusic,YUG,6:23.28
1988,7,Roland Baar,FRG,6:42.65
1988,8,Milan Dolecek,TCH,6:43.64
1988,9,Harold Backer,CAN,6:44.95
1988,10,Giuseppe Carando,ITA,6:45.39
1988, ,Martin Honegger,SUI,dns
1988,-,Siguitas Koutchinskas,URS,dns
1988,-,Agustin Alarcon,ESP,6:34.36
1988,-,Chung Jae-Won,KOR,7:19.22
1984,1,Martin Cross,GBR,6:18.64
1984,2,Thomas Kiefer,USA,6:20.28
1984,3,Kevin Lawton,NZL,6:23.68
1984,4,Giovanni Sergi Sergas,ITA,6:26.44
1984,5,Dave Ross,CAN,6:28.78
1984,6,Heribert Karches,FRG,6:34.23
1984,7,Andre Berezin,BRA,6:47.13
1984,8,Satoru Miyoshi,JPN,6:52.62
1980,1,Dieter Wendisch,GDR,6:14.51
1980,2,Arturs Garonskis,URS,6:19.05
1980,3,Grzegorz Stellak,POL,6:22.52
1976,1,Vladimir Yeshinov,URS,6:40.22
1976,2,Andreas Schultz,GDR,6:42.70
1976,3,Hans-Johann Färber,FRG,6:46.96
1972,1,Peter Berger,FRG,6:31.85
1972,2,Dietrich Zander,GDR,6:33.30
1972,3,Otakar Marecek,TCH,6:35.64
1972,4,Vladimir Sterlik,URS,6:37.71
1972,5,David Sawyer,USA,6:41.86
1972,6,Warren Cole,NZL,6:42.55
1972,7,Wim Grothuis,NED,7:05.83
1972,8,Hanspeter Lüthi,SUI,7:07.80
1972,9,Alf Hansen,NOR,7:07.85
1972,10,Christopher Pierce,GBR,7:12.14
1972,11,Antonio Baldacci,ITA,7:13.03
1972,12,Edgar Smith,CAN,7:16.13
1972,-,John Lee,AUS,7:07.08
1972,-,Mogens Holm,DEN,7:19.67
1968,1,Richard Joyce,NZL,6:45.62
1968,2,Peter Kremtz,GDR,6:48.20
1968,3,Denis Oswald,SUI,6:49.04
1968,4,Romano Sgheiz,ITA,6:49.54
1968,5,Luther Jones,USA,6:51.41
1968,6,Anatoly Nemtyryov,URS,7:00.00
1968,7,Reinhold Batschi,ROU,6:46.68
1968,8,Hugo Aberastegui,ARG,6:50.54
1968,9,Herman Rouwe,NED,6:51.77
1968,10,Jean Le Goff,FRA,6:52.86
1968,11,Ramon Luperon,CUB,7:07.07
1968,12,Nikolaus Ott,FRG,nm
1968,-,Jorge Castillo,MEX,7:36.29
1964,1,Peter Neusel,GER,7:00.44
1964,2,Renato Bosatta,ITA,7:02.84
1964,3,Alex Mullink,NED,7:06.46
1964,4,Yves Fraisse,FRA,7:13.92
1964,5,Anatoly Tkachuk,URS,7:16.05
1964,6,Szczepan Grajczyk,POL,7:28.15
1964,7,Paul Gunderson,USA,6:43.68
1964,8,Darien Boswell,NZL,6:45.16
1964,9,Tor Ahlsand,NOR,6:48.38
1964,10,Gary Herford,AUS,6:48.45
1964,11,Niels Nielsen,DEN,6:52.83
1964, ,Karel Karafiat,TCH,dns
1964,-,Mahmoud Shehata,EGY,10:44.94
1964,-,Teppo Kesalainen,FIN,7:21.16
1964,-,Osvaldo Diaz,CUB,dns
1964,-,Hideo Oe,JPN,7:31.60
1960,1,Gert Cinti,GER,6:39.12
1960,2,Robert Dumontois,FRA,6:41.62
1960,3,Fulvio Balatti,ITA,6:43.72
1960,4,Oleg Aleksandrov,URS,6:45.67
1960,5,Graeme Allen,AUS,6:45.80
1960,6,Tibor Bedekovics,HUN,6:51.65
1960,-,Dieter Ebner,AUT,7:06.85
1960,-,Väinö Olavi Huhtala,FIN,7:15.12
1960,-,Pavel Hofmann,TCH,7:19.71
1960,-,Charles Alm,USA,7:06.25
1960,-,Martin Bieltz,ROU,7:10.58
1960,-,Toon De Ruiter,NED,7:12.02
1960,-,Simon Crosse,GBR,6:48.21
1960,-,Harri Edmundo Klein,BRA,7:09.78
1960,-,Vladimir Nekora,YUG,7:00.71
1960,-,Koji Fukuda,JPN,7:10.50
1960,-,Poul Justesen,DEN,6:51.70
1960,-,Rune Andersson,SWE,7:05.90
1960,-,Jorge Gavinho,POR,6:57.87
1960,-,Panagiotis Calobratsos,GRE,6:57.98
1960,-,Franco Cobas,ESP,7:07.50
1956,1,Alberto Winkler,ITA,7:19.4
1956,2,Olof Larsson,SWE,7:22.4
1956,3,Kauko Hänninen,FIN,7:30.9
1956,4,Gordon Cowey,AUS,7:31.1
1952,1,Karel Mejta,TCH,7:33.4
1952,2,Enrico Bianchi,SUI,7:36.5
1952,3,Carl Lovested,USA,7:37.0
1952,4,Roderick Macmillan,GBR,7:41.2
1952,5,Kurt Grönholm,FIN,7:43.8
1952,-,Kirill Putyrsky,URS,7:05.1
1952,-,André Goursolle,FRA,7:09.4
1952,-,Albino Trevisan,ITA,7:06.0
1952,-,Juan Ecker,ARG,7:14.8
1952,-,Bjørn Christoffersen,NOR,7:06.6
1952,-,Niels Kristensen,DEN,7:08.6
1952,-,Edward Johnson,NZL,7:07.3
1952,-,Kosuke Matsuo,JPN,7:13.9
1952,-,Günter Twiesselmann,GER,7:04.6
1952,-,Salvador Costa,ESP,7:06.9
1952,-,Ton Fontani,NED,7:04.2
1952,-,Ibrahim El-Attar,EGY,7:21.0
1948,1,Warren Westlund,USA,6:50.3
1948,2,Rudolf Reichling,SUI,6:53.3
1948,3,Erik Larsen,DEN,6:58.6
1936,1,Hans Maier,GER,7:16.2
1936,2,Hermann Betschart,SUI,7:24.3
1936,3,Fernand Vandernotte,FRA,7:33.3
1936,4,Martinus Schoorl,NED,7:34.7
1932,1,Hans Eller,GER,7:19.0
1932,2,Bruno Vattovaz,ITA,7:19.2
1932,3,Jerzy Braun,POL,7:26.8
1932,4,Noel Pope,NZL,7:32.6
1928,1,Valerio Peretin,ITA,6:47.8
1928,2,Ernst Haas,SUI,7:03.4
1928,-,Franciszek Bronikowski,POL,7:29.4
1928,-,Maurice Delplanck,BEL,7:30.2
1928,-,Karl Golzo,GER,7:26.4
1924,1,Emile Albrecht,SUI,7:18.4
1924,2,Eugene Constant,FRA,7:21.6
1924,3,Robert Gerhardt,USA,7:23.0
1924,4,Renato Berninzone,ITA,--
1920,1,Willy Brüderlin,SUI,6:54.0
1920,2,Kenneth Myers,USA,6:58.0
1920,-,John Lager,SWE,7:12.0
1920,-,Robert Hay,CAN,7:18.0
1920,-,Jean van Silfhout,BEL,7:40.0
1920,-,Guilherme Lorena,BRA,7:25.4
1912,1,Albert Arnheiter,GER,6:59.4
1912,-,Johan Nyholm,FIN,7:12.5
1912, ,Fritz Krombholz,AUT,dnf
1900,1,Emile Delchambre,FRA,7:11.0
1900,2,Charles Perrin,FRA,8:18.0
1900,3,Hugo Rüster,GER,8:18.2
1900,4,Oskar Gossler,GER,5:59.0
1900,5,Gerhard Lotsy,NED,6:33.0
1900,6,Carl Lehle,GER,6:35.0
1900,-,Orestes Quintana,ESP,6:38.4
1900,-, Saurel,FRA,6:40.0
1900,-,Jules Demare,FRA,dnf
1900,-,Henri Delabarre,FRA,6:20.0
