Year,Position,Name,NOC,Time/Distance/Points,Record
1988,1,Martina Walther,GDR,6:56.00
1988,2,Zhang Xianghua,CHN,6:58.78
1988,3,Marioara Trasca,ROU,7:01.13
1988,4,Teodora Zareva,BUL,7:02.27
1988,5,Jennifer Corbet,USA,7:09.12
1988,6,Fiona Johnston,GBR,7:10.80
1988,7,Heather Clarke,CAN,7:19.86
1988,8,Grazyna Blad,POL,7:22.59
1988,9,Valentina Khokhlova,URS,7:27.20
1988,10,Kang Min-Heung,KOR,8:07.71
1984,1,Florica Lavric,ROU,3:19.30
1984,2,Marilyn Brain,CAN,3:21.55
1984,3,Robyn Grey-Gardner,AUS,3:23.29
1984,4,Abigail Peck,USA,3:23.58
1984,5,Marieke van Drogenboeck,NED,3:23.97
1984,6,Angelika Beblo,FRG,3:29.03
1984,7,Katie Ball,GBR,3:33.72
1984,8,Chen Changfeng,CHN,3:34.22
1984,9,Kim Jeong-Nam,KOR,3:51.48
1980,1,Ramona Kapheim,GDR,3:19.27
1980,2,Ginka Gyurova,BUL,3:20.75
1980,3,Mariya Fadeyeva,URS,3:20.92
1980,4,Georgeta Masca,ROU,3:22.08
1980,5,Anne Chirnside,AUS,3:26.37
1980,-,Pauline Janson,GBR,3:35.85
1976,1,Karin Metze,GDR,3:45.08
1976,2,Ginka Gyurova,BUL,3:48.24
1976,3,Nadezhda Sevostyanova,URS,3:49.38
1976,4,Elena Oprea,ROU,3:51.17
1976,5,Liesbeth Vosmaaer,NED,3:54.36
1976,6,Pamela Behrens,USA,3:56.50
1976,7,Linda Schaumleffel,CAN,3:46.18
1976,8,Gillian Webb,GBR,3:47.76
