Year,Position,Name,NOC,Time/Distance/Points,Record
2020,1,Alexander Purnell,AUS,5:42.76
2020,2,Mihaita Tiganescu,ROU,5:43.13
2020,3,Matteo Castaldo,ITA,5:43.60
2016,1,Alex Gregory,GBR,5:58.61
2016,2,William Lockwood,AUS,6:00.44
2016,3,Domenico Montrone,ITA,6:03.85
2016,4,David Hunt,RSA,6:05.80
2016,5,Harold Langen,NED,6:08.38
2016,6,William Crothers,CAN,6:15.93
2016,7,Henrik Rummel,USA,5:59.20
2016,8,Dionysios Angelopoulos,GRE,6:00.56
2016,9,Vadzim Lialin,BLR,6:00.57
2016,10,Artem Kosov,RUS,6:02.09
2016,11,Benjamin Lang,FRA,6:02.21
2016,12,Maximilian Korge,GER,6:06.24
2016,-,Vlad-Dragos Aicoboae,ROU,6:39.64
2012,1,Alex Gregory,GBR,6:03.97
2012,2,William Lockwood,AUS,6:05.19
2012,3,Glenn Ochal,USA,6:07.20
2012,4,Stergios Papachristos,GRE,6:11.43
2012,5,Boaz Meylink,NED,6:14.78
2012,6,Gregor Hauffe,GER,6:16.37
2012,7,Vadzim Lialin,BLR,6:09.31
2012,8,Simone Venier,ITA,6:09.42
2012,9,Michael Wilkinson,CAN,6:11.15
2012,10,Milos Vasic,SRB,6:11.94
2012,11,Tyson Williams,NZL,6:11.97
2012,12,Marius-Vasile Cozmiuc,ROU,6:16.20
2012,-,Michal Horvath,CZE,6:04.56
2008,1,Tom James,GBR,6:06.57
2008,2,Matthew Ryan,AUS,6:07.85
2008,3,Julien Despres,FRA,6:09.31
2008,4,Tomasz Pirih,SLO,6:11.62
2008,5,Jan Gruber,CZE,6:16.56
2008,6,Jochen Urban,GER,6:19.63
2008,7,Carl Meyer,NZL,6:06.30
2008,8,Geert Cirkel,NED,6:06.37
2008,9,David Banks,USA,6:07.17
2008,10,Cormac Folan,IRL,6:07.97
2008,11,Carlo Mornati,ITA,6:08.77
2008,12,Andrei Dzemyanenka,BLR,6:12.54
2008,-,Zhang Xingbo,CHN,6:02.37
2004,1,Steve Williams,GBR,6:06.98
2004,2,Cameron Baerg,CAN,6:07.06
2004,3,Lorenzo Porzio,ITA,6:10.41
2004,4,Dave McGowan,AUS,6:13.06
2004,5,Donald Leach,NZL,6:15.47
2004,6,Jaroslaw Godek,POL,6:22.43
2004,7,Jochen Urban,GER,5:48.52
2004,8,Jakub Makovicka,CZE,5:49.99
2004,9,Tomaz Pirih,SLO,5:50.59
2004,10,Garrett Klugh,USA,5:52.55
2004,11,Sergeij Matveyev,RUS,5:53.58
2004,12,Damir Vucicic,CRO,5:57.36
2004,-,Daniel Mastacan,ROU,6:00.10
2000,1,James Cracknell,GBR,5:56.24
2000,2,Valter Molea,ITA,5:56.62
2000,3,James Stewart,AUS,5:57.61
2000,4,Janez Klemencic,SLO,5:58.34
2000,5,Michael Wherley,USA,6:02.34
2000,6,Dave Schaper,NZL,6:09.13
2000,8,Filip Filipic,YUG,6:01.54
2000,9,Kjetil Undset,NOR,6:04.28
2000,10,Valeriu Andrunache,ROU,6:06.73
2000,11,Dirk Meusel,GER,6:08.11
2000,12,Hamdy Elkot,EGY,6:08.37
2000,-,Daniel Fauche,FRA,6:07.77
2000,-,Pawel Jarosinski,POL,6:15.75
1996,1,Drew Ginn,AUS,6:06.37
1996,2,Gilles Bosquet,FRA,6:07.03
1996,3,Rupert Obholzer,GBR,6:07.28
1996,4,Denis Zvegelj,SLO,6:07.87
1996,5,Claudiu Marin,ROU,6:08.97
1996,6,Valter Molea,ITA,6:10.60
1996,7,Sinisa Skelin,CRO,5:54.58
1996,8,Halvor Sannes Lande,NOR,5:55.19
1996,9,Stefan Forster,GER,5:57.77
1996,10,Huang Xiaoping,CHN,5:58.22
1996,11,Jason Scott,USA,5:59.91
1996,12,Piotr Olszewski,POL,6:00.57
1996,-,Alastair Mackintosh,NZL,6:35.58
1996,-,Daniel Scuri,ARG,6:37.85
1992,1,Andrew Cooper,AUS,5:55.04
1992,2,William Burden,USA,5:56.68
1992,3,Janez Klemencic,SLO,5:58.24
1992,4,Armin Weyrauch,GER,5:58.39
1988,1,Roland Schröder,GDR,6:03.11
1988,2,Raoul Rodriguez,USA,6:05.53
1988,3,Norbert Kesslau,FRG,6:06.22
1988,4,Mark Buckingham,GBR,6:06.74
1988,5,Sergio Caropreso,ITA,6:09.55
1988,6,Ivan Vyssotski,URS,11:03.77
1988,7,Campbell Clayton-Greene,NZL,6:04.74
1988,8,Pascal Bahuaud,FRA,6:08.60
1988,9,Tjark De Vries,NED,6:15.32
1988,10,Folke Brundin,SWE,6:16.41
1988,11,Darcel Berkhout,CAN,6:16.74
1988,12,Christos Christomanos,GRE,6:18.25
1988,-,Jose Aguirre,ESP,6:18.25
1988,-,Marcos Arantes,BRA,6:30.85
1988,-,Hong Chul-Ho,KOR,6:50.47
1984,1,Leslie O'Connell,NZL,6:03.48
1984,2,David Clark,USA,6:06.10
1984,3,Michael Jessen,DEN,6:07.72
1984,4,Norbert Kesslau,FRG,6:09.27
1984,5,Bruno Saile,SUI,6:09.50
1984,6,Anders Wilgotson,SWE,6:11.71
1984,7,Tim Turner,CAN,6:26.10
1984,8,David Doyle,AUS,6:28.31
1984,9,Jonathan Clift,GBR,6:32.13
1984,10,Wang Hongbing,CHN,6:50.03
1980,1,Jürgen Thiele,GDR,6:08.17
1980,2,Aleksei Kamkin,URS,6:11.81
1980,3,John Beattie,GBR,6:16.58
1980,4,Vojtech Caska,TCH,6:18.63
1976,1,Siegfried Britzke,GDR,6:37.42
1976,2,Ole Nafstad,NOR,6:41.22
1976,3,Raul Arnemann,URS,6:42.52
1976,4,Robert Murphy,NZL,6:43.23
1972,1,Frank Forberger,GDR,6:24.27
1972,2,Dick Tonks,NZL,6:25.64
1972,3,Joachim Ehrig,FRG,6:28.41
1972,4,Anatoly Tkachuk,URS,6:31.92
1968,1,Frank Forberger,GDR,6:39.18
1968,2,Zoltan Melis,HUN,6:41.64
1968,3,Renato Bosatta,ITA,6:44.01
1968,4,Roland Altenburger,SUI,6:45.78
1968,5,Peter Raymond,USA,6:47.70
1968,6,Thomas Hitzbleck,FRG,7:08.22
1968,7,Pavel Cichi,ROU,6:50.13
1968,8,Roberto Retolaza,MEX,6:53.21
1968,9,Patrick Sellier,FRA,6:53.71
1968,10,Gunner Nielsen,DEN,7:20.31
1968, ,Vitolds Barkans,URS,dns
1964,1,John Ørsted Hansen,DEN,6:59.30
1964,2,John Michael Russell,GBR,7:00.47
1964,3,Geoffrey Picard,USA,7:01.37
1964,4,Sjoerd Wartena,NED,7:09.98
1964,5,Romano Sgheiz,ITA,7:10.05
1964,6,Günter Schrörs,GER,7:10.33
1964,7,Celestinas Yucys,URS,6:22.03
1964,8,Dieter Ebner,AUT,6:24.15
1964,9,Stefan Pongracz,ROU,6:27.28
1964,10,Jean Drivet,FRA,6:38.32
1964,11,Daryl McDonald,CAN,6:45.50
1964,12,Shunsuke Miki,JPN,6:51.60
1964,-,Richard Garrard,AUS,7:01.07
1964,-,Juan Zanassi,ARG,7:07.83
1960,1,Arthur Ayrault,USA,6:26.26
1960,2,Tulilo Baraglia,ITA,6:28.78
1960,3,Igor Akhremchik,URS,6:29.62
1960,4,Jindrich Blazek,TCH,6:34.30
1960,5,Michael Beresford,GBR,6:36.18
1960,6,Paul Kölliker,SUI,6:38.81
1960,-,Victor Hendrix,GER,6:27.61
1960,-,Robert Adams,CAN,6:44.77
1960,-,Peter Gillon,AUS,6:45.25
1960,-,Martin Bieltz,ROU,6:47.04
1960,-,Benedykt Augustyniak,POL,6:48.50
1960,-,Juan Huber,ARG,6:56.35
1960,-,Eero Laine,FIN,dns
1960,-,Lajos Kiss,HUN,6:43.44
1960,-,Hugo Christiansen,DEN,6:49.75
1960,-,David Lord,RSA,6:50.32
1956,1,Archibald McKinnon,CAN,7:08.8
1956,2,John Weichli,USA,7:18.4
1956,3,Rene Guissart,FRA,7:20.9
1956,4,Guiseppe Moioli,ITA,7:22.5
1952,1,Duje Bonacic,YUG,7:16.0
1952,2,Pierre Blondieaux,FRA,7:18.9
1952,3,Veikko Lommi,FIN,7:23.3
1952,4,Harry Almond,GBR,7:25.2
1952,5,Edward Schwarzer,POL,7:28.2
