Year,Position,Name,NOC,Time/Distance/Points,Record
2016,1,Lucas Tramer,SUI,6:20.51
2016,2,Jacob Barsøe,DEN,6:21.97
2016,3,Franck Solforosi,FRA,6:22.85
2016,4,Stefano Oppo,ITA,6:25.52
2016,5,James Lassche,NZL,6:28.14
2016,6,Panagiotis Magdanis,GRE,6:36.47
2016,7,Chris Bartley,GBR,6:31.54
2016,8,Jin Ziwei,CHN,6:32.78
2016,9,Jonathan Koch,GER,6:35.83
2016,10,Robin Prendes,USA,6:36.93
2016,11,Joris Pijs,NED,6:37.28
2016,12,Jan Vetesnik,CZE,6:43.52
2016,-,Maxwell Lattimer,CAN,6:05.35
2012,1,James Thompson,RSA,6:02.84
2012,2,Peter Chambers,GBR,6:03.09
2012,3,Kasper Winther Jørgensen,DEN,6:03.16
2012,4,Anthony Edwards,AUS,6:04.05
2012,5,Simon Schürch,SUI,6:09.30
2012,6,Roeland Lievens,NED,6:11.39
2012,7,Thomas Baroukh,FRA,6:08.37
2012,8,Anthony Fahden,USA,6:09.23
2012,9,Bastian Seibt,GER,6:10.07
2012,10,Chenggang Yu,CHN,6:11.33
2012,11,Jan Vetesnik,CZE,6:11.49
2012,12,Daniele Danesin,ITA,6:14.63
2012,-,Lukasz Pawlowski,POL,6:04.46
2008,1,Thomas Ebert,DEN,5:47.76
2008,2,Lukasz Pawlowski,POL,5:49.39
2008,3,Iain Brambell,CAN,5:50.09
2008,4,Franck Solforosi,FRA,5:51.22
2008,5,Richard Chambers,GBR,5:52.12
2008,6,Gerard van der Linden,NED,5:54.06
2008,7,Jiri Vicek,ITA,6:03.12
2008,8,Huang Zhongming,CHN,6:04.48
2008,9,Rod Chisholm,AUS,6:05.26
2008,10,Cathal Moynihan,IRL,6:06.02
2008,11,Michael Altman,USA,6:07.79
2008,-,Mohamed Zidan,EGY,6:37.50
2004,1,Thor Kristensen,DEN,6:01.39
2004,2,Glen Loftus,AUS,6:02.79
2004,3,Lorenzo Bertini,ITA,6:03.74
2004,4,Gerard van der Linden,NED,6:03.79
2004,5,Iain Brambell,CAN,6:05.10
2004,6,Richard Archibald,IRL,6:09.96
2004,7,Veljko Urosevic,SCG,6:19.00
2004,8,Aleksandr Zyuzin,RUS,6:20.64
2004,9,Patrick Todd,USA,6:22.24
2004,10,Juliusz Madecki,AUT,6:22.85
2004,11,Martin Müller-Falcke,GER,6:23.28
2004,12,Mario Arranz Puente,ESP,6:26.15
2004,-,Michael Hennessy,GBR,5:58.80
2000,1,Laurent Porchier,FRA,6:01.68
2000,2,Simon Burgess,AUS,6:02.09
2000,3,Søren Madsen,DEN,6:03.51
2000,4,Salvatore Amitrano,ITA,6:03.77
2000,5,Mark Rowand,RSA,6:07.67
2000,6,Marc Schneider,USA,6:10.09
2000,7,Iain Brambell,CAN,6:04.31
2000,8,Joris Trooster,NED,6:05.96
2000,9,Helfried Jurtschitsch,AUT,6:07.84
2000,10,Dmitry Kartashov,RUS,6:09.12
2000,11,Neal Byrne,IRL,6:09.84
2000,12,Roland Händle,GER,6:15.31
2000,-,Jorge Morgenstern Medina,CHI,6:15.49
2000,-,Keisuke Murai,JPN,6:18.56
1996,1,Eskild Ebbesen,DEN,6:09.58
1996,2,Dave Boyes,CAN,6:10.13
1996,3,William Carlucci,USA,6:12.29
1996,4,Derek Holland,IRL,6:13.51
1996,5,Tobias Rose,GER,6:14.79
1996,6,Haimish Karrasch,AUS,6:18.16
1996,7,Stephane Barre,FRA,6:02.39
1996,8,Andrea Re,ITA,6:03.25
1996,9,Roger Tobler,RSA,6:04.13
1996,10,David Lemon,GBR,6:05.13
1996,11,Michael Bänninger,SUI,6:05.92
1996,12,Martin Kobau,AUT,6:06.09
1996,13,Vladimir Mityushov,RUS,6:23.59
1996,14,Fernando Climent Huerta,ESP,6:25.81
1996,15,Samuel Aguiar,POR,6:27.07
1996,16,Katsuhiko Nakamizo,JPN,6:28.60
1996,17,Hernan Legizamon,ARG,6:30.64
