Year,Position,Name,NOC,Time/Distance/Points,Record
2016,1,Ilse Paulis,NED,7:04.73
2016,2,Lindsay Jennerich,CAN,7:05.88
2016,3,Huang Wenyi,CHN,7:06.49
2016,4,Sophie MacKenzie,NZL,7:10.61
2016,5,Kirsten McCann,RSA,7:11.26
2016,6,Claire Lambe,IRL,7:13.09
2016,7,Weronika Deresz,POL,7:24.34
2016,8,Ionela-Livia Lehaci,ROU,7:24.61
2016,9,Anne Lolk Thomsen,DEN,7:27.36
2016,10,Devery Karz,USA,7:29.96
2016,11,Ronja Sturm,GER,7:32.73
2016,12,Ayami Oishi,JPN,7:42.87
2016,13,Laura Milani,ITA,7:36.64
2016,14,Charlotte Taylor,GBR,7:37.89
2016,15,Vanessa Cozzi,BRA,7:44.78
2016,16,Yin Lee Yuen,HKG,7:46.85
2016,17,Josefa Vila Betancurt,CHI,7:46.99
2016, ,Huyen Ta Thanh,VIE,dns
2016,19,Yislena Hernandez,CUB,7:50.21
2016,20,Khadija Krimi,TUN,7:56.26
2012,1,Katherine Copeland,GBR,7:09.30
2012,2,Xu Dongxiang,CHN,7:11.93
2012,3,Christina Giazitzidou,GRE,7:12.09
2012,4,Anne Lolk Thomsen,DEN,7:15.53
2012,5,Bronwen Watson,AUS,7:20.68
2012,6,Lena Müller,GER,7:22.18
2012,7,Lindsay Jennerich,CAN,7:17.24
2012,8,Rianne Sigmond,NED,7:20.36
2012,9,Louise Ayling,NZL,7:22.78
2012,10,Yaima Velazquez Falcon,CUB,7:23.25
2012,11,Kristin Hedstrom,USA,7:23.31
2012,12,Atsumi Fukumoto,JPN,7:32.12
2012,13,Luana de Assis,BRA,7:41.43
2012,14,Kim Myungshin,KOR,7:44.03
2012,15,Maria Clara Rohner,ARG,7:44.62
2012,16,Thao Pham Thi,VIE,7:51.82
2012,17,Sara Mohamed Baraka,EGY,8:14.17
2008,1,Kirsten van der Kolk,NED,5:54.74
2008,2,Sanna Sten,FIN,6:56.03
2008,3,Melanie Kok,CAN,6:56.68
2008,4,Berit Annika Carow,GER,6:56.72
2008,5,Xu Dongxiang,CHN,7:01.90
2008,6,Chrysi Biskitzi,GRE,7:04.61
2008,7,Katrin Olsen,DEN,7:06.94
2008,8,Amber Halliday,AUS,7:07.17
2008,9,Misaki Kumakura,JPN,7:08.49
2008,10,Renee Hykel,USA,7:09.02
2008,11,Hester Goodsell,GBR,7:11.24
2008,12,Yaima Velazquez Falcon,CUB,7:20.07
2008,13,Gabriela Huerta,MEX,7:17.21
2008,14,Alex White,RSA,7:20.49
2008,15,Camila Carvalho,BRA,7:22.40
2008,16,Natalya Voronova,KAZ,7:32.36
2008,17,Ko Young-eun,KOR,7:39.46
2004,1,Constanta Burcica,ROU,6:56.05
2004,2,Daniela Reimer,GER,6:57.33
2004,3,Kirsten van der Kolk,NED,6:58.54
2004,4,Sally Newmarch,AUS,6:59.91
2004,5,Xu Dongxiang,CHN,7:02.05
2004,6,Magdalena Kemnitz,POL,7:04.48
2004,7,Lisa Schlenker,USA,7:23.40
2004,8,Mara Jones,CAN,7:26.07
2004,9,Helen Casey,GBR,7:29.12
2004,10,Juliane Elander Rasmussen,DEN,7:32.58
2004,11,De Maria Mas Xaxars Rivero,ESP,7:41.23
2004,12,Maria Sakellaridou,GRE,7:48.42
2004,13,Kahori Uchiyama,JPN,7:37.46
2004,14,Dailin Taset Aguilar,CUB,7:42.20
2004,15,Edit Stift,HUN,7:45.05
2004,16,Gabriela Huerta Trillo,MEX,7:48.02
2004,17,Milka Kraljev,ARG,7:54.32
2004,18,Pham Thi Hien,VIE,8:14.80
2000,1,Constanta Burcica,ROU,7:02.64
2000,2,Valerie Viehoff,GER,7:02.95
2000,3,Christine Collins,USA,7:06.37
2000,4,Sally Newmarch,AUS,7:12.04
2000,5,Kim Plugge,SUI,7:15.57
2000,6,Kirsten van der Kolk,NED,7:17.89
2000,7,Benedicte Luzuy,FRA,7:10.70
2000,8,Elzbieta Kuncewicz,POL,7:12.76
2000,9,Fiona Milne,CAN,7:13.76
2000,10,Yu Hua,CHN,7:15.31
2000,11,Angeliki Gkremou,GRE,7:17.11
2000,12,Viktoriya Dimitrova,BUL,7:17.64
2000,13,Anna Alliquander,HUN,7:13.22
2000,14,Ayako Yoshida,JPN,7:15.01
2000,15,Marlenis Mesa,CUB,7:19.63
2000,16,Ana Soberanes,MEX,7:25.00
2000,17,Mun Hae-Young,KOR,7:42.07
2000,-,Marisa Peguri,ARG,7:28.19
1996,1,Constanta Burcica,ROU,7:12.78
1996,2,Teresa Bell,USA,7:14.65
1996,3,Rebecca Joyce,AUS,7:16.56
1996,4,Lisa Bertini,ITA,7:16.83
1996,5,Berit Christoffersen,DEN,7:18.20
1996,6,Laurien Vermulst,NED,7:21.92
1996,7,Colleen Miller,CAN,7:03.87
1996,8,Michelle Darvill,GER,7:04.31
1996,9,Li Fei,CHN,7:07.81
1996,10,Myriam Lamolle,FRA,7:09.95
1996,11,Carola Schustereder,AUT,7:11.22
1996,12,Monika Knejp,SWE,7:12.03
1996,13,Ayako Yoshida,JPN,7:44.81
1996,14,Ana Soberanes,MEX,7:46.57
1996,15,Angeliki Gkremou,GRE,7:51.80
1996,16,Esperanza Marquez,ESP,7:55.84
