Year,Position,Name,NOC,Time/Distance/Points,Record
1992,1,Jonathan Searle,GBR,6:49.83
1992,2,Carmine Abbagnale,ITA,6:50.98
1992,3,Dimitrie Popescu,ROU,6:51.58
1992,4,Thomas Woddow,GER,6:56.98
1988,1,Carmine Abbagnale,ITA,6:58.79
1988,2,Mario Streit,GDR,7:00.63
1988,3,Andrew Holmes,GBR,7:01.95
1988,4,Dimitrie Popescu,ROU,7:02.60
1988,5,Emil Groitzov,BUL,7:03.04
1988,6,Andre Korikov,URS,7:06.07
1988,7,Jan Kabrhel,TCH,7:11.30
1988,8,Roman Ambrozic,YUG,7:15.82
1988,9,Wojciech Jankowski,POL,7:18.60
1988,10,Ian Mckerlich,CAN,7:18.89
1988,11,Robert Espeseth,USA,7:24.18
1988, ,Andrew Bird,NZL,dns
1988,-,Nilton Silva Alonco,BRA,7:21.31
1988,-,Patrick McDonagh,IRL,7:23.87
1984,1,Carmine Abbagnale,ITA,7:05.99
1984,2,Dimitrie Popescu,ROU,7:11.21
1984,3,Kevin Still,USA,7:12.81
1984,4,Valter Hime Soares,BRA,7:17.07
1984,5,Harold Backer,CAN,7:18.98
1984,6,Dieter Göpfert,FRG,7:25.16
1984,7,Zlatko Celent,YUG,7:25.60
1984,8,Adrian Genziani,GBR,7:27.56
1984,9,Jean-Pierre Bremer,FRA,7:32.48
1984,10,José Manuel Bermudez,ESP,7:34.38
1984,11,Guy Defraigne,BEL,7:35.67
1984,12,Alfredo Montenegro,PER,7:52.59
1980,1,Harald Jährling,GDR,7:02.54
1980,2,Viktor Pereverzev,URS,7:03.35
1980,3,Dusko Mrduljas,YUG,7:04.92
1980,4,Petre Ceapura,ROU,7:07.17
1976,1,Harald Jährling,GDR,7:58.99
1976,2,Dmitri Bekhterev,URS,8:01.82
1976,3,Oldrich Svojanovsky,TCH,8:03.82
1976,4,Rumen Hristov,BUL,8:11.27
1976,5,Primo Baran,ITA,8:15.97
1976,6,Ryszard Stadniuk,POL,8:23.02
1976,7,Neil Christie,GBR,8:06.93
1976,8,Thomas Hitzbleck,FRG,8:09.02
1976,9,Yves Fraisse,FRA,8:12.66
1976,10,Atalibio Magioni,BRA,8:14.44
1976,11,John Mathews,USA,8:15.65
1976,12,Stanko Milos,YUG,8:16.22
1976,-,Robert Bergen,CAN,7:28.81
1972,1,Wolfgang Gunkel,GDR,7:17.25
1972,2,Oldrich Svojanovsky,TCH,7:19.57
1972,3,Stefan Tudor,ROU,7:21.36
1972,4,Heinz Mussmann,FRG,7:21.52
1972,5,Vladimir Yeshinov,URS,7:24.44
1972,6,Wojciech Repsz,POL,7:28.92
1972,7,Rolf Andreassen,NOR,7:58.45
1972,8,David Maxwell,GBR,7:59.57
1972,9,Michael Neary,CAN,8:00.27
1972,10,Dimiter Valov,BUL,8:01.86
1972,11,Michael Staines,USA,8:04.80
1972,12,René Furier,SUI,8:05.54
1972,-,Giampalo Tronchin,ITA,8:10.46
1972,-,Rainer Hinteregger,AUT,8:15.94
1972,-,Bernard Luttikhuizen,NED,8:17.37
1972,-,Lazaro Rivero,CUB,8:37.14
1972,-,Leo Ahonen,FIN,8:11.89
1972,-,Pedro Yucciolino,ARG,8:31.51
1972,-,Jean-Claude Coucardon,FRA,8:15.25
1972,-,Paul De Weert,BEL,8:16.26
1972,-,Pedro Ciappesoni,URU,8:52.42
1968,1,Primo Baran,ITA,8:04.81
1968,2,Herman Suselbeek,NED,8:06.80
1968,3,Jørn Krab,DEN,8:08.07
1968,4,Helmut Wollmann,GDR,8:08.22
1968,5,William Hobbs,USA,8:12.60
1968,6,Bernhard Hiesinger,FRG,8:41.51
1968,7,Urs Fankhauser,SUI,7:57.21
1968,8,Georgi Atanasov,BUL,7:58.10
1968,9,Gheorghe Moldoveanu,ROU,8:04.38
1968,10,Mario Tabio,CUB,8:04.90
1968,11,Rostislav Peterka,ARG,8:06.91
1968, ,Leonid Drachevsky,URS,nm
1968,-,Jose Alvarez,MEX,8:08.05
1968,-,José Ahlers,URU,8:11.88
1968,-,Angel Urrtia,ESP,8:24.17
1968,-,Lauro Pacussich,PER,8:25.90
1968, ,Yves Fraisse,FRA,nm
1968, ,Karel Kolesa,TCH,nm
1964,1,Edward Ferry,USA,8:21.33
1964,2,Jacques Morel,FRA,8:23.15
1964,3,Jan Bos,NED,8:23.42
1964,4,Nikolai Safronov,URS,8:24.85
1964,5,Vaclav Chalupa Sr.,TCH,8:36.21
1964,6,Kazimierz Naskrecki,POL,8:40.00
1964,7,Günter Bergau,GER,7:27.98
1964,8,Alfred Sageder,AUT,7:31.65
1964,9,Bruce Richardson,AUS,7:32.54
1964,10,Gheorghe Rieffelt,ROU,7:35.74
1964,11,Hugo Waser,SUI,7:36.03
1964, ,Natalio Rossi,ARG,dns
1964,-,Jens Behrendt Jensen,DEN,7:39.39
1964,-,Ante Guberina,YUG,7:40.89
1964,-,Mohamed El-Halawani,EGY,7:43.54
1964,-,Toshihiro Hamada,JPN,8:05.30
1960,1,Bernhard Knubel,GER,7:29.14
1960,2,Atanas Bagdanacicius,URS,7:30.17
1960,3,Richard Draeger,USA,7:34.58
1960,4,Jens Behrendt Jensen,DEN,7:39.20
1960,5,Giancarlo Piretta,ITA,7:40.92
1960,6,Stefan Kurecska,ROU,7:49.57
1960,-,Luis Aguiar,URU,7:45.02
1960,-,Osvaldo Cavagnaro,ARG,7:59.33
1960,-,Joaquin Del Real,ESP,8:04.63
1960,-,Roland Bollenberg,BEL,8:18.29
1960,-,Vaclav Chalupa Sr.,TCH,7:40.98
1960,-,Maarten Van Dis,NED,7:42.15
1960,-,Paul Guest,AUS,7:47.82
1960,-,Ioannis Khrysocoou,GRE,7:54.75
1960,-,Pasko Skarica,YUG,7:48.05
1960,-,Stewart Farquharson,GBR,7:49.01
1960,-,Gösta Eriksson,SWE,7:50.77
1960,-,Pal Wagner,HUN,8:01.35
1956,1,Arthur Ayralt,USA,8:26.1
1956,2,Karl-Heinrich von Groddeck,GER,8:29.2
1956,3,Igor Yemchuk,URS,8:31.0
1956,4,Henryk Jagodzinski,POL,8:31.5
1952,1,Raymond Salles,FRA,8:28.6
1952,2,Heinz-Joachim Manchen,GER,8:32.1
1952,3,Svend Pedersen,DEN,8:34.9
1952,4,Giuseppe Ramani,ITA,8:38.4
1952,5,Veijo Mikkolainen,FIN,8:40.8
1952,-,James Fifer,USA,7:55.5
1952,-,Yevgeny Morozov,URS,8:08.4
1952,-,Hippolyte Mattele,BEL,8:03.7
1952,-,Robert Zimonyi,HUN,8:16.6
1952,-,Czeslaw Lorenc,POL,8:00.9
1952,-,Walter Lüchinger,SUI,7:56.8
1952,-,Iraklis Klangas,GRE,8:12.9
1952,-,Mohamed Anwar,EGY,8:21.4
1952,-,Ove Nilsson,SWE,8:03.8
1952,-,Francisco Furtado,BRA,8:05.5
1948,1,Finn Pedersen,DEN,8:00.5
1948,2,Giovanni Steffe,ITA,8:12.2
1948,3,Antal Szendey,HUN,8:25.2
1936,1,Gerhard Gustmann,GER,8:36.9
1936,2,Almiro Bergamo,ITA,8:49.7
1936,3,Georges Tapie,FRA,8:54.0
1936,4,Raymond Larsen,DEN,8:55.8
1932,1,Joseph Schauers,USA,8:25.8
1932,2,Jerzy Braun,POL,8:31.2
1932,3,Anselme Brusa,FRA,8:41.2
1932,4,Jose Ramalho,BRA,8:53.2
1928,1,Hans Schöchlin,SUI,7:42.6
1928,2,Armand Marcelle,FRA,7:48.4
1928,3,Leon Flament,BEL,dns
1928, ,Pier Luigi Vestrini,ITA,dnf
1928,-,Joseph Dougherty,USA,8:41.2
1928, ,Tjapko van Bergen,NED,dnf
1924,1,Edouard Candeveau,SUI,8:39.0
1924,2,Ercole Olgeni,ITA,8:39.1
1924,3,Leon Butler,USA,--
1924,4,Eugene Constant,FRA,--
1924,-,Alphonse Dewette,BEL,--
1920,1,Ercole Olgeni,ITA,7:56.0
1920,2,Gabriel Poix,FRA,7:57.0
1920,-,Georges van den Bossche,BEL,8:25.0
1900,1,Francois Brandt,NED/FRA,7:34.2
1900,2,Louis Martinet,FRA,7:34.4
1900,3,Charles Deltour,FRA,7:57.2
