Year,Position,Name,NOC,Time/Distance/Points,Record
2016,1,Eric Murray,NZL,6:59.71
2016,2,Lawrence Brittain,RSA,7:02.51
2016,3,Giovanni Abbagnale,ITA,7:04.52
2016,4,Alan Sinclair,GBR,7:07.99
2016,5,Germain Chardin,FRA,7:09.91
2016,6,Spencer Turrin,AUS,7:11.60
2016,7,Jakub Podrazil,CZE,7:00.04
2016,8,Roel Braas,NED,7:01.88
2016,9,Adrian Juhasz,HUN,7:03.34
2016,10,Milos Vasic,SRB,7:04.71
2016,11,Anders Weiss,USA,7:10.60
2016,12,Cristi-Ilie Pirghie,ROU,7:13.68
2016,-,Alexander Sigurbjornsson,ESP,6:40.47
2012,1,Eric Murray,NZL,6:16.65
2012,2,Germain Chardin,FRA,6:21.11
2012,3,George Nash,GBR,6:21.77
2012,4,Niccolo Mornati,ITA,6:26.17
2012,5,James Marburg,AUS,6:29.28
2012,6,David Calder,CAN,6:30.49
2012,7,Anton Braun,GER,6:49.93
2012,8,Thomas Peszek,USA,6:53.30
2012,9,Nikolaos Gointoulas,GRE,6:53.69
2012,10,Wojciech Gutorski,POL,6:56.00
2012,11,Nanne Sluis,NED,7:05.12
2012, ,Nenad Bedik,SRB,dns
2012,-,Domonkos Szell,HUN,6:27.88
2008,1,Drew Ginn,AUS,6:37.44
2008,2,David Calder,CAN,6:39.55
2008,3,Nathan Twaddle,NZL,6:44.19
2008,4,Tom Lehmann,GER,6:47.40
2008,5,Shaun Keeling,RSA,6:47.83
2008,6,Tyler Winklevoss,USA,7:05.58
2008,7,Goran Jagar,SRB,6:49.12
2008,8,Jakub Makovicka,CZE,6:52.57
2008,9,Erwan Peron,FRA,6:54.40
2008,10,Morten Ølgaard Nielsen,DEN,6:55.37
2008,11,Dario Dentale,ITA,7:04.91
2008,12,Sinisa Skelin,CRO,7:11.19
2008,13,Robin Bourne-Taylor,GBR,6:46.83
2008,14,Piotr Hojka,POL,6:53.68
2004,1,Drew Ginn,AUS,6:30.76
2004,2,Sinisa Skelin,CRO,6:32.64
2004,3,Donovan Cech,RSA,6:33.40
2004,4,Nathan Twaddle,NZL,6:34.24
2004,5,Nikola Stojic,SCG,6:39.74
2004,6,Tobias Kühne,GER,6:46.50
2004,7,Toby Garbett,GBR,6:22.04
2004,8,Giuseppe De Vita,ITA,6:22.08
2004,9,Matija Pavsic,SLO,6:27.11
2004,10,Walter Naneder,ARG,6:27.88
2004,11,Luke Walton,USA,6:30.49
2004, ,Dave Calder,CAN,dns
2004,-,Adam Michalek,CZE,6:33.24
2000,1,Michel Andrieux,FRA,6:32.97
2000,2,Ted Murphy,USA,6:33.80
2000,3,Matthew Long,AUS,6:34.26
2000,4,Edward Coode,GBR,6:34.38
2000,5,Djordje Visacki,YUG,6:38.70
2000,6,Ramon di Clemente,RSA,6:43.10
2000,7,Phil Graham,CAN,6:33.60
2000,8,Oliver Martinov,CRO,6:35.18
2000,9,Robert Sens,GER,6:37.94
2000,10,Piotr Basta,POL,6:39.44
2000,11,Miha Pirih,SLO,6:40.23
2000,12,Luigi Sorrentino,ITA,6:40.35
2000,-,Damian Ordas,ARG,6:52.38
2000,-,Amr Temraz,EGY,7:07.35
2000,-,Kasam Khan,IND,7:16.10
1996,1,Steven Redgrave,GBR,6:20.09
1996,2,David Weightman,AUS,6:21.02
1996,3,Michel Andrieux,FRA,6:22.15
1996,4,Marco Penna,ITA,6:28.61
1996,5,Toni Dunlop,NZL,6:29.24
1996,6,Marko Banovic,CRO,6:30.48
1996,7,Michael Peterson,USA,6:33.81
1996,8,Luc Goiris,BEL,6:34.46
1996,9,Orlin Ninov,BUL,6:35.71
1996,10,Juozas Bagdonas,LTU,6:38.12
1996,11,Andreas Nader,AUT,6:38.60
1996,12,Carlos Palavecino,ARG,6:49.34
1996,13,Attila Racz,ROU,7:01.94
1996,14,Dmitriy Plechistik,BLR,7:03.31
1996,15,Matthias Ungemach,GER,7:06.88
1996,16,Gregory Bayne,RSA,7:09.91
1996,17,George Van Iwaarden,NED,7:10.43
1996,18,Takeshi Kodama,JPN,7:21.31
1992,1,Steven Redgrave,GBR,6:27.72
1992,2,Peter Höltzenbein,GER,6:32.68
1992,3,Iztok Cop,SLO,6:33.43
1992,4,Michel Andrioux,FRA,6:36.34
1988,1,Andrew Holmes,GBR,6:36.84
1988,2,Dragos Neagu,ROU,6:38.06
1988,3,Bojan Preseren,YUG,6:41.01
1988,4,Alain Lewuillon,BEL,6:45.47
1988,5,Carl Ertel,GDR,6:48.86
1988,6,Igor Zuborenko,URS,6:51.11
1988,7,Frank Dietrich,FRG,7:19.48
1988,8,Lavrent Lacasa,FRA,7:22.36
1988,9,Kurt Bausback,USA,7:28.30
1988,10,Ricardo De Carvalho,BRA,7:28.30
1988,11,Aarne Lindroos,FIN,7:28.46
1988,12,Hermann Bauer,AUT,10:45.56
1988,-,Fernando Climent Huerta,ESP,7:09.10
1988,-,Don Dickison,CAN,7:13.07
1988,-,Malcolm Batten,AUS,7:06.17
1988,-,Audun Hadler-Olsen,NOR,7:20.88
1988,-,Claudio Aguila,ARG,7:06.57
1988,-,Maki Kobayashi,JPN,7:18.56
1984,1,Petru Iosub,ROU,6:45.39
1984,2,Fernando Climent Huerta,ESP,6:48.87
