Year,Position,Name,NOC,Time/Distance/Points,Record
2020,1,Dirk Uittenbogaard,NED,5:32.03
2020,2,Harry Leask,GBR,5:33.75
2020,3,Jack Cleary,AUS,5:33.97
2016,1,Phillipp Wende,GER,6:06.81
2016,2,Karsten Forsterling,AUS,6:07.96
2016,3,Andrei Jamsa,EST,6:10.65
2016,4,Mateusz Biskup,POL,6:12.09
2016,5,Jack Beaumont,GBR,6:13.08
2016,6,Dmytro Mikhay,UKR,6:16.30
2016,7,Nico Stahlberg,SUI,6:11.18
2016,8,Julien Bahain,CAN,6:13.55
2016,9,Dovydas Nemeravicius,LTU,6:15.16
2016,10,Nathan Flannery,NZL,6:18.92
2012,1,Karl Schulze,GER,5:42.48
2012,2,David Sain,CRO,5:44.78
2012,3,Christopher Morgan,AUS,5:45.22
2012,4,Andrei Jamsa,EST,5:46.96
2012,5,Stephen Rowbotham,GBR,5:49.19
2012,6,Konrad Wasielewski,POL,5:51.74
2012,7,John Storey,NZL,5:58.88
2012,8,Vladislav Ryabtsev,RUS,5:59.17
2012,9,Volodymyr Pavlovskyi,UKR,6:01.23
2012,10,Benjamin Chabanet,FRA,6:02.12
2012,11,Matteo Stefanini,ITA,6:02.57
2012,12,Florian Stofer,SUI,6:04.37
2012,-,Wesley Piermarini,USA,5:45.62
2008,1,Konrad Wasielewski,POL,5:41.33
2008,2,Luca Agamennoni,ITA,5:43.57
2008,3,Jonathan Coeffic,FRA,5:44.34
2008,4,Christopher Morgan,AUS,5:44.68
2008,5,Matthew Hughes,USA,5:47.64
2008,6,Stephan Krüger,GER,5:50.96
2008,7,Nikita Morgachev,RUS,5:46.17
2008,8,Sergii Gryn,UKR,5:47.89
2008,9,Kaspar Taimsoo,EST,5:48.12
2008,10,Petr Vitasek,CZE,5:50.07
2008,11,Kiryl Lemiashkevich,BLR,5:50.74
2008,12,Yuleidys Cascaret Iznaga,CUB,5:52.66
2008,-,Janez Zupanc,SLO,6:12.64
2004,1,Sergei Fedorovchev,RUS,5:56.85
2004,2,David Kopriva,CZE,5:57.43
2004,3,Sergei Hrin,UKR,5:58.87
2004,4,Adam Bronikowski,POL,5:58.94
2004,5,Andre Willms,GER,6:07.04
2004,6,Valery Radzevich,BLR,6:09.33
2004,7,Scott Brennan,AUS,6:02.31
2004,8,Simon Stürm,SUI,6:04.53
2004,9,Oleg Vinogradov,EST,6:05.11
2004,10,Alessandro Corona,ITA,6:06.91
2004,11,Ben Holbrook,USA,6:07.83
2004,12,Simon Cottle,GBR,6:07.87
2004,-,Xavier Philippe,FRA,5:50.83
2000,1,Agostino Abbagnale,ITA,5:45.56
2000,2,Jochem Verberne,NED,5:47.91
2000,3,Marco Geisler,GER,5:48.64
2000,4,Peter Hardcastle,AUS,5:50.32
2000,5,Simon Stürm,SUI,5:54.88
2000,6,Leonid Shaposhnykov,UKR,5:55.12
2000,7,Sean Hall,USA,5:49.76
2000,8,Karol Lazar,POL,5:51.79
2000,9,Stijn Smulders,BEL,5:54.17
2000,10,Yvan Deslaviere,FRA,5:55.41
2000,11,Raphael Hartl,AUT,5:57.58
2000,12,Leonides Same,CUB,6:00.63
2000,-,Liu Jianjun,CHN,6:16.80
1996,1,Andre Steiner,GER,5:56.93
1996,2,Tim Young,USA,5:59.10
1996,3,Janusz Hooker,AUS,6:01.65
1996,4,Massimo Paradiso,ITA,6:02.12
1996,5,Rene Benguerel,SUI,6:04.52
1996,6,Johan Flodin,SWE,6:07.75
1996,7,Oleksandr Marchenko,UKR,5:53.46
1996,8,Nikolay Spinev,RUS,5:54.98
1996,9,Jaroslaw Nowicki,POL,5:55.10
1996,10,Sander Van Der Marck,NED,5:55.15
1996,11,Denis Tabako,BLR,5:55.52
1996,12,Yves Lamarque,FRA,6:00.48
1996,-,Carlos Pages,ARG,5:52.89
1996,-,Andre Costa,BRA,6:12.86
1992,1,Andre Willms,GER,5:45.17
1992,2,Lars Bjørnness,NOR,5:47.09
1992,3,Gianluca Farina,ITA,5:47.33
1992,4,Ueli Bodenmann,SUI,5:47.39
1988,1,Piero Poli,ITA,5:53.37
1988,2,Lars Bjønnes,NOR,5:55.08
1988,3,Steffen Bogs,GDR,5:56.13
1988,4,Pavlo Krupko,URS,5:57.18
1988,5,Richard Powell,AUS,5:59.15
1988,6,Christoph Galandi,FRG,5:59.59
1988,7,Slawomir Cieslakowski,POL,5:55.39
1988,8,Robbert Bakker,NED,5:55.72
1988,9,Paul Douma,CAN,5:58.06
1988,10,Ferenc Dozsa,HUN,5:58.37
1988,11,Vaclav Chalupa Jr.,TCH,05:58.70
1988,12,Ruben D'Andrilli,ARG,6:04.47
1988,-,Charles Altekruese,USA,5:59.07
1984,1,Albert Hedderich,FRG,5:57.55
1984,2,Paul Reedy,AUS,5:57.98
1984,3,Doug Hamilton,CAN,5:59.07
1984,4,Piero Poli,ITA,6:00.94
1984,5,Pascal Body,FRA,6:01.35
1984,6,Jesus Gonzalez,ESP,6:04.99
1984,7,Bruce Beall,USA,6:11.50
1984,8,Ivan Enstad,NOR,6:12.18
1984,9,Mark Emke,NED,6:12.41
1984,10,Oscar Bonini,ARG,6:32.52
1980,1,Frank Dundr,GDR,5:49.81
1980,2,Yuri Shapochka,URS,5:51.47
1980,3,Mincha Nikolov,BUL,5:52.38
1980,4,Christian Marquis,FRA,5:53.45
1976,1,Wolfgang Güldenpfennig,GDR,6:18.65
1976,2,Yevgeny Duleyev,URS,6:19.89
1976,3,Jaroslav Helebrand,TCH,6:21.77
1976,4,Norbert Kothe,FRG,6:24.81
1976,5,Yordan Valtchev,BUL,6:32.04
1976,6,Peter Cortes,USA,6:34.33
1976,7,Roland Weill,FRA,6:28.60
1976,8,Hans Ruckstuhl,SUI,6:29.61
1976,9,Andrew Justice,GBR,6:32.83
1976,10,Francisco Rodriguez,CUB,6:40.76
1976,11,Louis Bourassa,CAN,6:44.74
