Year,Position,Name,NOC,Time/Distance/Points,Record
1984,1,Titie Taran,ROU,3:14.11
1984,2,Anne Marden,USA,3:15.57
1984,3,Hanne Eriksen,DEN,3:16.02
1984,4,Anne Dickmann,FRG,3:16.81
1984,5,Lydie Dubedat Briero,FRA,3:17.87
1984,6,Alessandra Borio,ITA,3:21.48
1984,-,Vicki Harber,CAN,3:19.88
1980,1,Sybille Reinhardt,GDR,3:15.32
1980,2,Antonina Pustovit,URS,3:15.73
1980,3,Mariana Serbezova,BUL,3:16.10
1980,4,Marta Macuviciuc,ROU,3:16.82
1980,5,Boguslawa Tomasiak,POL,3:20.95
1980,6,Ineke Donkervoort,NED,3:22.64
1980,-,Judit Keri,HUN,3:22.98
1976,1,Anke Borchmann,GDR,3:29.99
1976,2,Anna Kondrachina,URS,3:32.49
1976,3,Ioana Tudoran,ROU,3:32.76
1976,4,Iskra Velinova,BUL,3:34.13
1976,5,Maresova Maresova,TCH,3:42.53
1976,6,Kirsten Thomsen,DEN,3:46.99
1976,7,Karen McCloskey,USA,3:46.06
1976,8,Ilona Bata,HUN,3:55.33
1976,9,Sandra Kirby,CAN,3:57.72
