Year,Position,Name,NOC,Time/Distance/Points,Record
2020,1,Chen Yunxia,CHN,6:05.13
2020,2,Agnieszka Kobus,POL,6:11.36
2020,3,Ria Thompson,AUS,6:12.08
2016,1,Annekatrin Thiele,GER,6:49.39
2016,2,Chantal Achterberg,NED,6:50.33
2016,3,Maria Springwald,POL,6:50.86
2016,4,Daryna Verkhogliad,UKR,6:56.09
2016,5,Grace Latz,USA,6:57.67
2016,6,Zhang Ling,CHN,6:59.45
2016,-,Jessica Hall,AUS,6:28.60
2012,1,Kateryna Tarasenko,UKR,6:35.93
2012,2,Annekatrin Thiele,GER,6:38.09
2012,3,Natalie Dell,USA,6:40.63
2012,4,Dana Faletic,AUS,6:41.67
2012,5,Tang Bin,CHN,6:44.19
2012,6,Melanie Wilson,GBR,6:51.54
2012,7,Sarah Gray,NZL,6:56.46
2012,8,Kamila Socko,POL,6:57.20
2008,1,Tang Bin,CHN,6:16.06
2008,2,Annie Vernon,GBR,6:17.37
2008,3,Britta Oppelt,GER,6:19.56
2008,4,Svitlana Spiryukhova,UKR,6:20.02
2008,5,Lisa Pernell,USA,6:25.86
2008,6,Zoe Uphill,AUS,6:30.05
2008,7,Julia Kalinovskaya,RUS,6:28.10
2008,8,Rachelle De Jong,CAN,6:28.78
2004,1,Kathrin Boron,GER,6:29.29
2004,2,Alison Mowbray,GBR,6:31.26
2004,3,Dana Faletic,AUS,6:34.73
2004,4,Yulia Levina,RUS,6:36.49
2004,5,Michelle Guerette,USA,6:39.67
2004, ,Olena Ronzhyna,UKR,dq
2004,6,Dorthe Pedersen,DEN,6:50.13
2004,7,Mariya Brel,BLR,6:54.02
2000,1,Manja Kowalski,GER,6:19.58
2000,2,Guin Batten,GBR,6:21.64
2000,3,Oxana Dorodnova,RUS,6:21.65
2000,4,Dina Myftakhutdinova,UKR,6:25.71
2000,5,Hilary Gehman,USA,6:30.26
2000,6,Bianca Carstensen,DEN,6:31.30
2000,7,Kerry Knowler,AUS,6:37.22
2000,8,Liu Lijuan,CHN,6:39.51
2000,9,Doina Spircu,ROU,6:46.78
1996,1,Jana Sorgers,GER,6:27.44
1996,2,Olena Ronzhina,UKR,6:30.36
1996,3,Laryssa Biesenthal,CAN,6:30.38
1996,4,Inger Pors,DEN,6:30.92
1996,5,Cao Mianying,CHN,6:31.10
1996,6,Irene Eijs,NED,6:35.54
1996,7,Irina Fedotova,RUS,6:24.10
1996,8,Andrea Thies,USA,6:24.49
1996,9,Sally Newmarch,AUS,6:25.73
1996,10,Angela Tamas,ROU,6:31.35
1992,1,Kerstin Müller,GER,6:20.18
1992,2,Constanta Pipota,ROU,6:24.34
1992,3,Yekaterina Khodotovich,EUN,6:25.07
1992,4,Laurien Vermulst,NED,6:32.40
1992,5,Kristine Karlson,USA,6:32.65
1988,1,Kerstin Förster,GDR,6:21.06
1988,2,Irina Kalimbet,URS,6:23.47
1988,3,Anisoara Balan,ROU,6:23.81
1988,4,Pavlina Hristova,BUL,6:24.10
1988,5,Hana Krejcova,TCH,6:41.86
1988,6,Marie-Anne Vandermoere,BEL,6:43.79
1988,7,Jos Compaan,NED,6:38.70
1988,8,Erika Bertenyi,HUN,6:40.91
1988,9,Sherry Cassuto,USA,6:41.28
1988,10,Monique Coupat,FRA,6:43.16
