Year,Position,Name,NOC,Time/Distance/Points,Record
1912,1,Cornelius Burdette,USA,1687
1912,2,Harcourt Ommundsen,GBR,1602
1912,3,Mauritz Eriksson,SWE,1570
1912,4,George Harvey,RSA,1531
1912,5,Louis Percy,FRA,1515
1912,6,Ole Christiansen Degnæs,NOR,1473
1912,7,Frangiskos Mavrommatis,GRE,1445
1912,8,Niels Andersen,DEN,1419
1912,9,Pavel de Valdayne,RUS,1403
1912,10,Elemer Bömches von Boor,HUN,1333
1908,4,FRA,2227,    
1908,5,SWE,2213,    
1908,6,NOR,2192,    
1908,7,GRE,1999,    
1908,8,DEN,1909,    
