Year,Position,Name,NOC,Time/Distance/Points,Record
1920,1,Lawrence Nuesslein,USA,1899
1920,2,Sigvard Hultcrantz,SWE,1873
1920,3,Anton Olsen,NOR,1866
1920,4,Lars Jørgen Madsen,DEN,1862
1920,5,Leon Johnson,FRA,1847
1920,6,Paul van Asbroeck,BEL,1785
1920,7,Alfredo Galli,ITA,1777
1920,8,George Lishman,RSA,1755
1920,9,Jose Bento Lopez,ESP,1753
1920,10,Andreas Vikhos,GRE,1727
1912,1,Johan von Holst,SWE,925
1912,2,William Pimm,GBR,917
1912,3,Frederick Hird,USA,881
1912,4,Ioannis Theophilakis,GRE,716
1908,1,Maurice Matthews,GBR,771
1908,2,Wilhelm Carlberg,SWE,737
1908,3,Paul Colas,FRA,710
