Year,Position,Name,NOC,Time,Record
2020,1, Caeleb Dressel,USA,47.02,OR
2020,2, Kyle Chalmers,AUS,47.08,
2020,3, Kliment Kolesnikov,ROC,47.44,
2020,4, Maxime Grousset,FRA,47.72,
2020,5, Hwang Sunwoo,KOR,47.82,
2020,6, Alessandro Miressi,ITA,47.86,
2020,7, David Popovici,ROU,48.04,
2020,8, Nandor Nemeth,HUN,48.1,
2020,-,Jacob Whittle,GBR,48.11,
2020,-,Joshua Liendo Edwards,CAN,48.19,
2020,-,Yuri Kisil,CAN,48.31,
2020,-,Andrej Barna,SRB,47.94,
2020,-,Andrei Minakov,ROC,48.03,
2020,-,Zach Apple,USA,48.04,
2020,-,Thomas Ceccon,ITA,48.05,
2020,-,Roman Mityukov,SUI,48.53,
2020,-,Alexander Shah,NEP,53.41,
2020,-,Olt Kondirolli,KOS,54.33,
2020,-,Yazan Al Bawwab,PLE,54.51,
2020,-,Andrew Fowler,GUY,55.23,
2020,-,Sangay Tenzin,BHU,57.57,
2020,-,Mubal Ibrahim,MDV,58.37,
2020,-,Edgar Iro,SOL,01:00.1,
2020,-,Danilo Rosafio,KEN,52.54,
2020,-,Jagger Stephens,GUM,52.72,
2020,-,Delron Felix,GRN,52.99,
2020,-,Mathieu Marquet,MRI,53.56,
2020,-,Bosko Radulovic,MNE,53.6,
2020,-,Syed Muhammad Tariq,PAK,53.81,
2020,-,Atuhaire Ambala,UGA,54.23,
2020,-,Belly-Cresus Ganira,BDI,54.33,
2020,-,Mokhtar Al-Yamani,YEM,50.52,
2020,-,Andrew Chetcuti,MLT,51.47,
2020,-,Yousuf Almatrooshi,UAE,51.5,
2020,-,Stefano Mitchell,ANT,51.64,
2020,-,Kledi Kadiu,ALB,51.65,
2020,-,Issa Samir Al Adawi,OMA,51.81,
2020,-,Jean-Luc Zephir,LCA,51.94,
2020,-,Miguel Mena,NCA,51.99,
2020,-,Ian Yentou Ho,HKG,49.49,
2020,-,Artur Barseghyan,ARM,49.79,
2020,-,Nikolas Antoniou,CYP,50,
2020,-,Khurshidjon Tursunov,UZB,50.14,
2020,-,Peter Wetzlar,ZIM,50.31,
2020,-,Samy Boutouil,MAR,50.37,
2020,-,Ari-Pekka Liukkonen,FIN,50.48,
2020,-,Matthew Abeysinghe,SRI,50.62,
2020,-,Nikola Miljenic,CRO,49.25,
2020,-,Ali Khalafalla,EGY,49.31,
2020,-,Mikel Schreuders,ARU,49.31,
2020,-,Alberto Mestre,VEN,49:44:00,
2020,-,Luke Gebbie,PHI,49:64,
2020,-,Joseph Schooling,SIN,49:84,
2020,-,Benjamin Hockin Brusquetti,PAR,50:41:00,
2020,-,Emir Muratovic,BIH,50:43:00,
2020,-,Stan Pijnenburg,NED,48:53:00,
2020,-,Dylan Carter,TTO,48:66,
2020,-,Damian Wierling,GER,48:83,
2020,-,Robin Hanson,SWE,49:07:00,
