Year,Position,Name,NOC,Time/Distance/Points,Record
2020,1,Bronte Campbell,AUS,3:29.69,WR
2020,2,Kayla Sanchez,CAN,3:32.78
2020,3,Erika Brown,USA,3:32.81
2016,1,Emma McKeon,AUS,3:30.65,WR
2016,2,Simone Manuel,USA,3:31.89
2016,3,Sandrine Mainville,CAN,3:32.89
2016,4,Marrit Steenbergen,NED,3:33.81
2016,5,Michelle Coleman,SWE,3:35.90
2016,6,Erika Ferraioli,ITA,3:36.78
2016,7,Beryl Gastaldello,FRA,3:37.45
2016,8,Miki Uchida,JPN,3:37.78
2016,-,Zhu Menghui,CHN,3:37.25
2016,-,Pernille Blume,DEN,3:39.45
2016,-,Katarzyna Wilk,POL,3:41.43
2016,-,Keren Siebner,ISR,3:41.97
2016,-,Veronika Popova,RUS,3:37.68
2016,-,Larissa Oliveira,BRA,3:39.40
2016,-,Fatima Gallardo Carapeto,ESP,3:40.46
2016,-,Maria Ugolkova,SUI,3:41.02
2012,1,Alicia Coutts,AUS,3:33.16,OR
2012,2,Inge Dekker,NED,3:33.79
2012,3,Missy Franklin,USA,3:34.24
2012,4,Tang Yi,CHN,3:36.75
2012,5,Amy Smith,GBR,3:37.02
2012,6,Pernille Blume,DEN,3:37.45
2012,7,Haruka Ueda,JPN,3:37.96
2012, ,Michelle Coleman,SWE,dq
2012,-,Veronika Popova,RUS,3:39.59
2012,-,Aliaksandra Herasimenia,BLR,3:40.67
2012,-,Agnes Mutina,HUN,3:44.79
2012,-,Britta Steffen,GER,3:39.16
2012,-,Victoria Poon,CAN,3:39.60
2012,-,Alice Mizzau,ITA,3:39.74
2012,-,Natasha Hind,NZL,3:42.55
2012,-,Theodora Drakou,GRE,3:45.55
2008,1,Inge Dekker,NED,3:33.76,OR
2008,2,Natalie Coughlin,USA,3:34.33
2008,3,Cate Campbell,AUS,3:35.05
2008,4,Zhu Yingwen,CHN,3:35.64
2008,5,Britta Steffen,GER,3:36.85
2008,6,Celine Couderc,FRA,3:37.68
2008,7,Francesca Halsall,GBR,3:38.18
2008,8,Julia Wilkinson,CAN,3:38.32
2008,-,Haruka Ueda,JPN,3:39.25
2008,-,Erika Ferraioli,ITA,3:40.42
2008,-,Anastasia Aksenova,RUS,3:42.52
2008,-,Tatiana Lemos Barbosa,BRA,3:42.85
2008,-,Ida Marko-Varga,SWE,3:40.52
2008,-,Darya Stepanyuk,UKR,3:44.72
2008,-,Melissa Corfe,RSA,3:51.14
2004,1,Alice Mills,AUS,3:35.94,WR
2004,2,Kara Lynn Joyce,USA,3:36.39
2004,3,Chantal Groot,NED,3:37.59
2004,4,Antje Buschschulte,GER,3:37.94
2004,5,Solenne Figues,FRA,3:40.23
2004,6,Melanie Marshall,GBR,3:40.82
2004,7,Josefin Lillhage,SWE,3:41.22
2004,8,Cheng Jiaru,CHN,3:42.90
2004,-,Sun So-eun,KOR,3:44.84
2004,-,Cecilia Vianini,ITA,3:44.88
2004,-,Jana Klusackova,CZE,3:46.83
2004,-,Tatiana Rouba Beniarz,ESP,3:47.47
2004,-,Hanna Shcherba,BLR,3:45.38
2004,-,Rebeca Braga Gusmao,BRA,3:45.38
2004,-,Dominique Diezi,SUI,3:48.61
2004,-,Nery Niangkouara,GRE,dq
2000,1,Amy Van Dyken,USA,3:36.61,WR
2000,2,Manon van Rooijen,NED,3:39.83
2000,3,Louise Jöhncke,SWE,3:40.30
2000,4,Antje Buschschulte,GER,3:40.31
2000,5,Karen Pickering,GBR,3:40.54
2000,6,Susan O'Neill,AUS,3:40.91
2000,7,Marianne Limpert,CAN,3:42.92
2000,8,Cecilia Vianini,ITA,3:44.49
2000,-,Lyubov Yudina,RUS,3:46.79
2000,-,Florina Carmen Herea,ROU,3:48.78
