Year,Position,Name,NOC,Time/Distance/Points,Record
2020,1,Thomas Dean,GBR,6:58.58
2020,2,Martin Malyutin,ROC,7:01.81
2020,3,Alexander Graham,AUS,7:01.84
2016,1,Dwyer Conor,USA,7:00.66
2016,2,Stephen Milne,GBR,7:03.13
2016,3,Kosuke Hagino,JPN,7:03.50
2016,4,Thomas Fraser-Holmes,AUS,7:04.18
2016,5,Danila Izotov,RUS,7:05.70
2016,6,Florian Vogel,GER,7:07.28
2016,7,Dion Dreesens,NED,7:09.10
2016,8,Louis Croenen,BEL,7:11.64
2016,-,Andrea D'Arrigo,ITA,7:09.20
2016,-,Devon Myles Brown,RSA,7:12.61
2016,-,Victor Martin Martin,ESP,7:12.62
2016,-,Jordan Pothain,FRA,7:13.71
2016,-,Luiz Altamir,BRA,7:13.84
2016,-,Jan Switkowski,POL,dq
2016,-,Anders Lie Nielsen,DEN,7:12.66
2016,-,Peter Bernek,HUN,dq
2012,1,Ryan Lochte,USA,6:59.70
2012,2,Amaury Leveaux,FRA,7:02.77
2012,3,Hao Yun,CHN,7:06.30
2012,4,Paul Biedermann,GER,7:06.59
2012,5,Thomas Fraser-Holmes,AUS,7:07.00
2012,6,Robert Renwick,GBR,7:09.33
2012,7,Darian Townsend,RSA,7:09.65
2012,8,Dominik Kozma,HUN,7:13.66
2012,-,Tim Wallburger,GER,7:09.23,"q"
2012,-,Yuki Kobori,JPN,7:11.74
2012,-,Gianluca Maglia,ITA,7:12.69
2012,-,Daniel Skaaning,DEN,7:15.04
2012,-,Matthew Stanley,NZL,7:17.18
2012,-,Artem Lobuzov,RUS,7:11.86
2012,-,Dieter Dekoninck,BEL,7:14.44
2012,-,Blake Worsley,CAN,7:15.22
2012,-,David Brandl,AUT,7:17.94
2008,1,Michael Phelps,USA,6:58.56,WR
2008,2,Nikita Lobintsev,RUS,7:03.70
2008,3,Leith Brodie,AUS,7:04.98
2008,4,Marco Belotti,ITA,7:05.35
2008,5,Colin Russell,CAN,7:05.77
2008,6,David Carry,GBR,7:05.95
2008,7,Yoshihiro Okumura,JPN,7:10.31
2008,8,Jean Basson,RSA,7:13.02
2008,-,Zhang Lin,CHN,7:13.57
2008,-,Clement Lefert,FRA,7:13.57
2008,-,Paul Biedermann,GER,7:13.92
2008,-,Nicolas Cesar de Oliveira,BRA,7:19.54
2008,-,David Walters,USA,7:04.66,OR
2008,-,Dominik Koll,AUT,7:11.45
2008,-,Gergö Kis,HUN,7:14.14
2008,-,Lukasz Gasior,POL,7:18.09
2008,-,Andreas Zisimos,GRE,7:18.26
2004,1,Michael Phelps,USA,7:07.33
2004,2,Grant Hackett,AUS,7:07.46
2004,3,Emiliano Brembilla,ITA,7:11.83
2004,4,Simon Burnett,GBR,7:12.60
2004,5,Brent Hayden,CAN,7:13.33
2004,6,Jens Schreiber,GER,7:16.51
2004,7,Amaury Leveaux,FRA,7:17.43
2004,8,Apostolos Antonopoulos,GRE,7:23.02
2004,-,Liu Yu,CHN,7:22.87
2004,-,Sergiy Fesenko,UKR,7:24.13
2004,-,Luis Monteiro,POR,7:27.99
2004,-,Joshua Ilika Brenner,MEX,7:29.54
2004,-,Rodrigo Rocha Castro,BRA,7:22.70
2004,-,Maksim Kuznetsov,RUS,7:23.97
2004,-,Michal Rubacek,CZE,7:26.26
2004,-,Tamas Kerekjarto,HUN,7:31.78
2000,1,Ian Thorpe,AUS,7:07.05,WR
2000,2,Scott Goldblatt,USA,7:12.64
2000,3,Martijn Zuijdweg,NED,7:12.70
2000,4,Andrea Beccari,ITA,7:12.91
2000,5,Edward Sinclair,GBR,7:12.98
2000,6,Stefan Pohl,GER,7:20.19
2000,7,Mark Johnston,CAN,7:21.92
2000,8,Dmitriy Chernyshov,RUS,7:24.37
2000,-,Attila Czene,HUN,7:24.48
2000,-,Igor Koleda,BLR,7:24.83
2000,-,Edvaldo Silva Filho,BRA,7:26.42
2000,-,Ivan Ivanov,KGZ,dq
2000,-,Dragos Coman,ROU,7:24.06
