Year,Position,Name,NOC,Time/Distance/Points,Record
1992,1, Sylvie Frechette,CAN,191.717
1992,2, Kristen Babb-Sprague,USA,191.848
1992,3, Fumiko Okuno,JPN,187.056
1992,4, Olga Sedakova,EUN,185.106
1992,5, Anne Capron,FRA,182.449
1992,6, Christina Thalassinidou,GRE,180.244
1992,7, Kenny Schacklock,GBR,179.354
1992,8, Marjolijn Both,NED,179.354
1988,1, Carolyn Waldo,CAN,200.150
1988,2, Tracie Ruiz-Conforto,USA,197.633
1988,3, Mikako Kotani,JPN,191.850
1988,4, Muriel Hermine,FRA,190.100
1988,5, Karin Singer,SUI,185.600
1988,6, Nicola Shearn,GBR,181.933
1988,7, Khristina Falasinidi,URS,180.650
1988,8, Gerlind Scheller,FRG,175.983
1984,1, Tracie Ruiz,USA,198.467
1984,2, Carolyn Waldo,CAN,195.300
1984,3, Miwako Motoyoshi,JPN,187.050
1984,4, Marijke Engelen,NED,182.632
1984,5, Gudrun Hänisch,FRG,182.017
1984,6, Caroline Holmyard,GBR,182.000
1984,7, Muriel Hermine,FRA,180.534
1984,8, Karin Singer,SUI,178.383
1984,-,Ana Amicarella,VEN,173.700
1984,-,Alexandra Worisch,AUT,173.383
1984,-,Chemene Sinson,BAR,167.184
1984,-,Donella Burridge,AUS,166.283
1984,-,Paula Carvalho,BRA,165.700
1984,-,Antonella Terenzi,ITA,165.033
1984,-,Patricia Serneels,BEL,160.666
1984,-,Dahlia Mokbel,EGY,155.767
1984,-,Rosa Costa Soler,ESP,149.883
