Year,Position,Name,NOC,Time/Distance/Points,Record
2004,1,Chen Qi,CHN,4
2004,2,Ko Lai Chak,HKG,2
2004,3,Michael Maze,DEN,4
2004,4,Dmitry Masunov,RUS,2
2004,-,Lucjan Blaszczyk,POL,1
2004,-,Jörgen Persson,SWE,1
2004,-,Lee Chul-seung,KOR,1
2004,-,Slobodan Grujic,SCG,1
2004,-,Danny Heister,NED,2
2004,-,Chiang Peng-Lung,TPE,2
2004,-,Karl Jindrak,AUT,0
2004,-,Kong Linghui,CHN,1
2004,-,Timo Boll,GER,0
2004,-,Yuk Cheung,HKG,0
2004,-,Akira Kito,JPN,1
2004,-,Joo Sae-Hyuk,KOR,1
2004,-,William Henzell,AUS,1
2004,-,Mark Hazinski,USA,1
2004,-,Peter Akinlabi,NGR,2
2004,-,Johnny Huang,CAN,2
2004,-,Shu Arai,JPN,0
2004,-,Petr Korbel,CZE,1
2004,-,Panagiotis Gionis,GRE,3
2004,-,Lars Hielscher,GER,1
2000,1,Wang Liqin,CHN,3
2000,2,Kong Linghui,CHN,1
2000,3,Patrick Chila,FRA,3
2000,4,Lee Chul-seung,KOR,1
2000,-,Kim Taek-soo,KOR,1
2000,-,Karl Jindrak,AUT,2
2000,-,Chang Yen-Shu,TPE,2
2000,-,Damien Eloi,FRA,0
2000,-,Lucjan Blaszczyk,POL,2
2000,-,Slobodan Grujic,YUG,0
2000,-,Danny Heister,NED,0
2000,-,Fredrik Haakansson,SWE,1
2000,-,Michael Maze,DEN,0
2000,-,Yuk Cheung,HKG,2
2000,-,Jörgen Persson,SWE,0
2000,-,Seiko Iseki,JPN,0
2000,-,Johnny Huang,CAN,1 - 1
2000,-,Song Liu,ARG,0 - 2
2000,-,Nosiru Kazeem,NGR,1 - 1
2000,-,Chetan Baboor,IND,0 - 2
2000,-,Kalinikos Kreanga,GRE,1 - 1
2000,-,Simon Gerada,AUS,0 - 2
2000,-,Koji Matsushita,JPN,1 - 1
2000,-,Yinghua Cheng,USA,0 - 2
2000,-,Jean-Michel Saive,BEL,1 - 1
2000,-,Jorge Gambra Said,CHI,0 - 2
2000,-,Vladimir Samsonov,BLR,1 - 1
2000,-,Todd Sweeris,USA,0 - 2
2000,-,Hugo Hoyama,BRA,1 - 1
2000,-,Petr Korbel,CZE,0 - 2
2000,-,Timo Boll,GER,1 - 1
2000,-,Brett Clarke,AUS,0 - 2
2000,-,David Kaci,ALG,0
2000,-,Francisco Arado,CUB,0
2000,-,Ismu Harinto,INA,1
2000,-,Ashraf Helmy,EGY,1
1996,1,Kong Linghui,CHN,3
1996,2,Lu Lin,CHN,1
1996,3,Lee Chul-seung,KOR,3
1996,4,Steffen Fetzner,GER,0
1992,1,Lu Lin,CHN,3
1992,2,Steffen Fetzner,GER,2
1992,-,Kang Hee-chan,KOR,0
1992, ,Kim Taek-soo,KOR,1
1988,1,Chen Longcan,CHN,2
1988,2,Ilija Lupulesku,YUG,1
1988,3,Ahn Jae-hyung,KOR,2
1988,4,Kim Wan,KOR,0
