Year,Position,Name,NOC,Time/Distance/Points,Record
2004,1,Wang Nan,CHN,4
2004,2,Lee Eun-sil,KOR,0
2004,3,Guo Yue,CHN,4
2004,4,Kim Bok-rae,KOR,3
2004,-,Ai Fujinuma,JPN,2
2004,-,Sim Song Ah,HKG,2
2004,-,Kim Hyang-mi,PRK,2
2004,-,Tamara Boros,CRO,0
2004,-,Huang Yi-hua,TPE,0
2004,-,Sui Fei Lau,HKG,2
2004,-,Svetlana Ganina,RUS,0
2004,-,Nikoleta Stefanova,ITA,0
2004,-,Paey Fern Tan,SIN,0
2004,-,Karen Li,NZL,2
2004,-,Csilla Batorfi,HUN,1
2004,-,Jun Hong Jing,SIN,3
2004,-,Tatyana Logatzkaya,BLR,3
2004,-,Oksana Fadeeva,RUS,2
2004,-,Petra Cada,CAN,0
2004,-,Tatyana Kostromina,BLR,2
2004,-,Mihaela Steff,ROU,1
2004,-,Chunli Li,NZL,4
2004,-,Nicole Struse,GER,1
2004,-,Renata Strbikova,CZE,1
2004,-,Tawny Banh,USA,0
2000,1,Wang Nan,CHN,3
2000,2,Sun Jin,CHN,0
2000,3,Kim Moo-kyo,KOR,3
2000,4,Csilla Batorfi,HUN,2
2000,-,Eldijana Aganovic,CRO,1
2000,-,Otilia Badescu,ROU,2
2000,-,Lee Eun-sil,KOR,0
2000,-,Miao Miao,AUS,0
2000,-,Elke Schall,GER,0
2000,-,Jun Hong Jing,SIN,2
2000,-,Ai Fujinuma,JPN,0
2000,-,Chen Jing,TPE,0
2000,-,Qianhong Gotsch,GER,0
2000,-,Tatyana Kostromina,BLR,0
2000,-,Xia Lian Ni,LUX,2
2000,-,Ruta Garkauskaite,LTU,0
2000,-,Judith Herczig,AUT,1 - 1
2000,-,Lijuan Geng,CAN,0 - 2
2000,-,Kazuko Naito,JPN,1 - 1
2000,-,Jian Fang Lay,AUS,0 - 2
2000,-,Jun Gao Chang,USA,1 - 1
2000,-,Xiao Xiao Wang,CAN,0 - 2
2000,-,Chunli Li,NZL,1 - 1
2000,-,Tawny Banh,USA,0 - 2
2000,-,Oxana Kushch,RUS,1 - 1
2000,-,Kehinde Okenla,NGR,0 - 2
2000,-,Sim Song Ah,HKG,1 - 1
2000,-,Silvia Morel Messina,CHI,0 - 2
2000,-,Tsui Hsiu-Li,TPE,1 - 1
2000,-,Bosede Kaffo,NGR,0 - 2
2000,-,Asa Svensson,SWE,1 - 1
2000,-,Shimaa Abdel Aziz,EGY,0 - 2
2000,-,Marisel Ramirez,CUB,0
2000,-,Luisana Perez,VEN,0
1996,1,Deng Yaping,CHN,3
1996,2,Liu Wei,CHN,1
1996,3,Park Young-jae,KOR,3
1996,4,Kim Moon-kyo,KOR,1
1992,1,Deng Yaping,CHN,3
1992,2,Chan Zihe,CHN,1
1992,-,Hong Cha-ok,KOR,1
1992, ,Li Bun-hui,PRK,1
1992,-,Po Wa Chai,HKG,1
1992,-,Hong Soon-hwa,KOR,1
1992,-,Irina Palina,EUN,0
1992,-,Mirjam Hooman,NED,1
1988,1,Hyun Jung-hwa,KOR,2
1988,2,Chen Jing,CHN,1
1988,3,Jasna Fazlic,YUG,2
1988,4,Mika Hoshino,JPN,1
