Year,Position,Name,NOC,Time/Distance/Points,Record
1912,1,Maurice Germot,FRA,6  12  6  6
1912,2,Carl Kempe,SWE,4  14  2  4
1912,3,Alfred Beamish,GBR,6  0  10  2  6
1912,4,Herbert Barrett,GBR,2  6   8  6  3
1912,-,Francis Gordon Lowe,GBR,2
1912,-,Curt Benckert,SWE,0
1912,-,Carl-Olof Nylen,SWE,0
1912,-,George Caridia,GBR,0
1908,1,Arthur Gore,GBR,6  2  6  6
1908,2,George Caridia,GBR,2  6  3  3
1908,3,Wollmar Boström,SWE,4  6  1  6  6
1908,4,Lionel Escombe,GBR,6  3  6  0  3
1908,-,Wilberforce Eaves,GBR,6  9  4    8  4
