Year,Position,Name,NOC,Time/Distance/Points,Record
1912,2,Andre Gobert,FRA,8  6  6
1912,3,Charles Dixon,GBR,6  4  4
1912,4,Anthony Wilding,ANZ,4  6  7  6
1912,-,Francis Gordon Lowe,GBR,6  2  5  0
1912,-,Karel Fuchs,BOH,0
1912,-,George Caridia,GBR,0
1912,-,Arthur Lowe,GBR,0
1912,-,Gunnar Setterwall,SWE,1
1912,-,Theodore Mavrogordato,GBR,1
1912,-,Thorsten Grönfors,SWE,0
1912,-,Arthur Gore,GBR,0
1912,-,Maurice Germot,FRA,1
1912,-,Carl Kempe,SWE,0
1912,-,Herbert Barrett,GBR,2
1912,-,Charles Wennergren,SWE,0
1912,-,Jaroslav Just,BOH,wo
1912,-,Max Decugis,FRA,dns
1912,-,Josef Sebek,BOH,dns
1912,-,Lennart Silfverstolpe,SWE,0
1912,-,Frans Julius Möller,SWE,1
1912,-,Hakon Leffler,SWE,0
1912,-,Wollmar Boström,SWE,1
1912,-,Alfred Beamish,GBR,2
1912,-,Erik Larsen,DEN,1
1912,-,Jaroslav Hainz,BOH,1
1908,2,Arthur Wentworth Gore,GBR,6  7  6
1908,3,George Caridia,GBR,3  5  4
1908,4,Josiah Ritchie,GBR,wo
1908,-,Gunnar Setterwall,SWE,2  1  1
1908,-,Wollmar Boström,SWE,5  2  7
1908,-,Lionel Escombe,GBR,2  3  1
