Year,Position,Name,NOC,Time/Distance/Points,Record
2016,BRA,3,USA,3
2016,ITA,0,4.,RUS,2
2016,-,2,RUS,0
2012,RUS,3,ITA,3
2012,BRA,2,4.,BUL,1
2012,-,1,ITA,0
2008,USA,3,RUS,3
2008,BRA,1,4.,ITA,0
2008,-,2,ITA,1
2004,BRA,3,RUS,3
2004,ITA,1,4.,USA,0
2004,-,0,USA,0
2000,YUG,3,ITA,3
2000,RUS,0,4.,ARG,0
2000,-,1,ITA,0
1996,NED,3,YUG,3
1996,ITA,2,4.,RUS,1
1996,-,0,YUG,1
1992,BRA,3,USA,3
1992,NED,0,4.,CUB,1
1992,-,1,CUB,0
1988,USA,3,ARG,3
1988,URS,1,4.,BRA,2
1988,-,0,ARG,0
1984,USA,3,ITA,3
1984,BRA,0,4.,CAN,0
1984,-,1,CAN,0
1980,URS,3,ROU,3
1980,BUL,1,4.,POL,1
1980,-,0,POL,0
1976,POL,3,CUB,3
1976,URS,2,4.,JPN,0
1976,-,0,JPN,2
1972,JPN,3,URS,3
1972,GDR,1,4.,BUL,0
