Year,Position,Name,NOC,Time/Distance/Points,Record
2016,CHN,3,USA,3
2016,SRB,1,4.,NED,1
2012,BRA,3,JPN,3
2012,USA,1,4.,KOR,0
2012,-,0,KOR,0
2008,BRA,3,CHN,3
2008,USA,1,4.,CUB,1
2008,-,0,CHN,0
2004,CHN,3,CUB,3
2004,RUS,2,4.,BRA,1
2000,CUB,3,BRA,3
2000,RUS,2,4.,USA,0
1996,CUB,3,BRA,3
1996,CHN,1,4.,RUS,2
1992,CUB,3,USA,3
1992,EUN,1,4.,BRA,0
1988,URS,3,CHN,3
1988,PER,2,4.,JPN,0
1984,CHN,3,JPN,3
1984,USA,0,4.,PER,1
1980,URS,3,BUL,3
1980,GDR,1,4.,HUN,2
1980,-,0,BUL,2
1976,JPN,3,KOR,3
1976,URS,0,4.,HUN,1
1972,URS,3,PRK,3
1972,JPN,2,4.,KOR,0
1972,-,1,KOR,0
1964,4,ROU,2 - 3,    
1964,5,USA,1 - 4,    
1964,6,KOR,0 - 5,    
