Year,Position,Name,NOC,Time/Distance/Points,Record
2016,SRB,11,ITA,12
2016,CRO,7,4.,MNE,10
2016,-,12,SRB,10
2016,-,8,ITA,8
2012,CRO,8,SRB,12
2012,ITA,6,4.,MNE,11
2012,-,7,ITA,9
2012,-,5,SRB,7
2008,HUN,14,SRB,6
2008,USA,10,4.,MNE,4
2008,-,11,USA,10
2008,-,9,SRB,5
2000,HUN,13,YUG,8
2000,RUS,6,4.,ESP,3
2000,-,8,HUN,8
2000,-,7,YUG,7
1996,ESP,7,ITA,20
1996,CRO,5,4.,HUN,18
1996,-,6,HUN,6
1992,ITA,9,EUN,8
1992,ESP,8,4.,USA,4
1992,-,6,ITA,9
1992,-,4,EUN,8
1988,YUG,9,URS,14
1988,USA,7,4.,FRG,13
1988,-,14,USA,8
1988,-,10,URS,7
1984,YUG,9,USA,8
1984,AUS,6,NED,7
1976,HUN,6,ROU,5
1976,-,5,YUG,5
1968,YUG,13,HUN,9
1968,URS,11,4.,ITA,4
1968,-,8,URS,8
1968,-,6,ITA,5
1964,HUN,3,YUG,2
1964,ITA,1,URS,0
1960,-,3,ITA,2
1956,URS,3,YUG,5
1956,ITA,2,USA,1
1932,4,JPN,0 (0-37),    
1924,BEL,0,4.,SWE
1920,BEL,2,4.,USA
1920,-,7,BEL,5
1912,4,AUT,1 - 3 (10 - 25),    
1912,5,HUN,0 - 2 (9 - 11),    
1912,6,FRA,0 - 2 (3 - 11),    
1908,4,NED,0 - 1 (1 - 8),    
1900,-,FRA,0 - 1 (1 - 12),    
1900,-,GER,0 - 1 (2 - 3),    
