Year,Position,Name,NOC,Time/Distance/Points,Record
2016,1, Shi Zhiyong,CHN,352
2016,2, Daniyar Ismayilov,TUR,351
2016,3, Luis Mosquera Lozano,COL,338
2016,4, Bredni Roque Mendoza,MEX,326
2016,5, Briken Calja,ALB,326
2016,6, Serghei Cechir,MDA,322
2016,7, Bernardin Kingue Matam,FRA,320
2016,8, Won Jeongsik,KOR,320
2016,9, Triyatno Triyatno,INA,317
2016,10, David Sanchez Lopez,ESP,317
2016,11, Tairat Bunsuk,THA,316
2016,12, Hafifi Bin Mansor Mohd,MAS,316
2016,13, Kwon Yong Gwang,PRK,313
2016,14, Doston Yokubov,UZB,313
2016,15, Edwin Mosquera Roa,COL,310
2016,16, Mohsen Hussain Al Duhaylib,KSA,297
2016,17, Pan Chien-hung,TPE,296
2016, , Kim Myong-hyok,PRK,dnf
2016,-, Ketut Ariana,INA,dnf
2016, , Karem Ben Hnia,TUN,dnf
2016, , Izzat Artykov,KGZ,(339),dq(d)*
2016,-,"* Izzat Artykov disqualified for doping according to CAS (Court of Arbitration for Sport) decision of 18 August 2016. 




Men's Lightweight - Weightlifting - Rio 2016 Summer Olympics
Event Format:
     
     In weightlifting the total score for a lifter was the sum of the lifter's result in the snatch and the clean & jerk categories. Three lifts was allowed in each category. In case of a tie, the lighter lifter won. Lifters without a valid snatch score did not perform the clean & jerk category. Event facts: Men's Lightweight competition was held at the Riocentro - Pavilion 2 and 21 athletes participated in the event. 





These results for Men's Lightweight - Rio 2016 Summer Olympics - are based on the official olympic reports and the Olympian Database
 ",Men's Lightweight - Weightlifting - Rio 2016 Summer Olympics,"Event Format:
     
     In weightlifting the total score for a lifter was the sum of the lifter's result in the snatch and the clean & jerk categories: Three lifts was allowed in each category: In case of a tie. the lighter lifter won: Lifters without a valid snatch score did not perform the clean & jerk category: Event facts: Men's Lightweight competition was held at the Riocentro - Pavilion 2 and 21 athletes participated in the event: ",These results for Men's Lightweight - Rio 2016 Summer Olympics - are based on the official olympic reports and the Olympian Database
2012,1, Lin Qingfeng,CHN,344
2012,2, Triyatno Tryatno,INA,333
2012,3, Kim Myong-hyok,PRK,329
2012,4, Junior Sanchez Rivero,VEN,328
2012,5, Won Jeongsik,KOR,322
2012,6, Sardar Hasanov,AZE,321
2012,7, Briken Calja,ALB,320
2012,8, Mohamed Abd Elbaki,EGY,316
2012,9, Kim Kum-sok,PRK,315
2012,10, Deni Deni,INA,311
2012,11, Daniyar Ismayilov,TKM,310
2012,12, Doyler Sanchez Guerrero,COL,308
2012,13, Ravi Kumar Katulu,IND,303
2012,14, Atthaphon Daengchanthuek,THA,300
2012,15, Gareth Evans,GBR,288
2012,16, Bunyami Sezer,TUR,275
2012, , Vencelas Dabaya Tientcheu,FRA,dnf
2012,-, Afgan Bayramov,AZE,dnf
2012, , Arakel Mirzoyan,ARM,dnf
2012, , Daniel Godelli,ALB,dnf
2012, , Bakhram Mendibaev,UZB,dnf
2012, , Bernardin Kingue Matam,FRA,dnf
2012, , Mete Binay,TUR,(325),dq(d)**
2012, , Razvan Martin,ROU,(332),dq(d)*
2008,1, Liao Hui,CHN,348
2008,2, Vencelas Dabaya Tientcheu,FRA,338
