Year,Position,Name,NOC,Time/Distance/Points,Record
2020,1, Maude Charron,CAN,236
2020,2, Giorgia Bordignon,ITA,232
2020,3, Chen Wen-Huei,TPE,230
2020,4, Mercedes Perez Tigrero,COL,227
2020,5, Sarah Davies,GBR,227
2020,6, Angie Palacios,ECU,226
2020,7, Elreen Ando,PHI,222
2020,8, Marina Rodriguez Mitjan,CUB,221
2020,9, Nuray Levent,TUR,220
2020,10, Lisa Schweizer,GER,217
2020,11, Kiana Elliott,AUS,209
2020,12, Sema Ludrick,NCA,202
2020,13, Yasmin Zammit Stevens,MLT,189
2020, , Chaima Rahmouni,TUN,dnf
2016,1, Deng Wei,CHN,262
2016,2, Choe Hyo-sim,PRK,248
2016,3, Karina Goricheva,KAZ,243
2016,4, Mercedes Perez Tigrero,COL,234
2016,5, Eva Alicia Gurrola Ortiz,MEX,220
2016,6, Giorgia Bordignon,ITA,217
2016,7, Esraa Ahmed,EGY,216
2016,8, Marina Rodriguez Mitjan,CUB,215
2016,9, Namika Matsumoto,JPN,205
2016,10, Anni Teija Vuohijoki,FIN,192
2016,11, Joana Palacios,ARG,190
2016,12, Elisa Ravololoniaina,MAD,185
2016,13, Mehtap Kurnaz,TUR,181
2016, , Siripuch Gulnoi,THA,dnf
2012,1, Christine Girard,CAN,236
2012,2, Milka Maneva,BUL,233
2012,3, Luz Mercedes Acosta Valdez,MEX,224
2012,4, Seen Lee,AUS,186
2012,5, Maria Liku,FIJ,182
2012,6, Lucia Castaneda Gomez,NCA,176
2012,7, Silvana Saldarriaga,PER,172
2012, , Sibel Simsek,TUR,(235),dq(d)*
2012,-, Svetlana Tsarukaeva,RUS,(237),dq(d)***
2012, , Maiya Maneza,KAZ,(245),dq(d)**
2008,1, Pak Hyon-suk,PRK,241.0
2008,2, Lu Ying-chi,TPE,231.0
2008,3, Christine Girard,CAN,228.0
2008,4, Thi Thiet Nguyen,VIE,225.0
2008,5, Kim Sook-yung,KOR,225.0
2008,6, Ruth Kasirye,NOR,224.0
2008,7, Luz Mercedes Acosta Valdez,MEX,223.0
2008,8, Mercedes Perez Tigrero,COL,217.0
2008,9, Bayarmaa Namkhaidorj,MGL,213.0
2008,10, Dominika Misterska-Zasowska,POL,211.0
2008,11, Nathalie Woolfolk,USA,211.0
2008,12, Solenny Villasmil,VEN,205.0
2008,13, Carissa Gump,USA,204.0
2008,14, Michaela Breeze,GBR,185.0
2008,15, Hanene Orfelli,TUN,175.0
2008,16, Maria Teresa Monasterio,BOL,141.0
2008, , Leila Lassouani,ALG,dnf
2008,-, Svetlana Tsarukaeva,RUS,dnf
2008, , Irina Nekrassova,KAZ,(240.0),dq(d)*
2008, , Maiya Maneza,KAZ,(dns),dq(d)**
2004,1, Natalia Skakun,UKR,242.5,OR
2004,2, Anna Batyushka,BLR,242.5
2004,3, Tatsiana Stukalava,BLR,222.5
2004,4, Hayet Sassi,TUN,215.0
2004,5, Kim Soo-kyung,KOR,215.0
2004,6, Thi Thiet Nguyen,VIE,205.0
2004,7, Leila Lassouani,ALG,200.0
2004, , Anastasia Tsakiri,GRE,dnf
2004,-, Karnam Malleswari,IND,dq
2000,1, Chen Xiaomin,CHN,242.5,OR
2000,2, Valentina Popova,RUS,235.0
2000,3, Ioanna Chatziioannou,GRE,222.5
2000,4, Saipin Detsaeng,THA,222.5
2000,5, Kim Yong-ok,PRK,205.0
2000,6, Amanda Phillips,AUS,190.0
2000,7, Josefa Perez,ESP,187.5
2000,8, Nora Koppel,ARG,182.5
2000,9, Kesaia Tawai,FIJ,165.0
