Year,Position,Name,NOC,Time/Distance/Points,Record
2000,2,Namig Abdullayev,AZE,4
2000,3,Samuel Henson,USA,3
2000,4,Amiran Karntanov,GRE,5
2000,-,German Kontoyev,BLR,4
2000,-,Oleksandr Zakharuk,UKR,8
2000,-,Maulen Mamyrov,KAZ,1
2000,-,Chikara Tanabe,JPN,1 - 1
2000,-,Moon Myung-seok,KOR,0 - 2
2000,-,Leonid Tchoutchounov,RUS,1 - 1
2000,-,Ivan Conov,BUL,0 - 2
2000,-,Adkhamjon Achilov,UZB,1 - 1
2000,-,Vasilij Zeiher,GER,0 - 2
2000,-,Nurdin Donbaev,KGZ,1 - 1
2000,-,Wilfredo Garcia,CUB,1 - 1
2000,-,Jin Ju-dong,PRK,1 - 1
2000,-,Martin Liddle,NZL,0 - 2
2000,-,Vitalie Railean,MDA,2 - 1
2000,-,Behnam Tayebi Kermani,IRI,1 - 2
2000,-,Tumendemberel Zuunbayan,MGL,0 - 3
1996,2,Valentin Jordanov,BUL,4
1996,3,Namig Abdullayev,AZE,3
1996,4,Maulen Mamyrov,KAZ,3
1996,-,Chechenol Mongush,RUS,2
1996,-,Gholam Reza Mohammadi,IRI,4
1996,-,Metin Topaktas,TUR,2
1996,-,Adkhamdzhoon Akhilov,UZB,11
1996,-,Gregory Woodcroft,CAN,0
1992,1, Li Hak-son,PRK,8
1992,2, Larry Jones,USA,1
1992,3, Valentin Yordanov,BUL,9
1992,4, Kim Sun-hah,KOR,3
1992,5, Ahmet Orel,TUR,ret
1992,7, Majid Torkan,IRI,2
1992,8, Christopher Woodcroft,CAN,1
1988,1, Mitsuru Sato,JPN,13
1988,2, Saban Trstena,YUG,2
1988,3, Vladimir Toguzov,URS,14
1988,4, Laszlo Biro,HUN,1
1988,5, Aslan Seyhanli,TUR,5
1988,6, Kim Jong-ho,KOR,4
1988,7, Tserenbatar Enebayar,MGL,injury
1984,1, Saban Trstena,YUG,walkover
1984,2, Yuji Takada,JPN,12
1984,4, Ray Takahashi,CAN,0
1984,5, Aslan Seyhanli,TUR,14
1984,6, Mahabir Singh,IND,5
1984,-,Kim Jong-kyu,KOR,Q
1980, ,Wladislav Stecyk,POL,pts
1980, ,Anatoly Bilohlazov,URS,bye
1980,-,Nermedin Selimov,BUL,pts
1972, ,Kiyomi Kato,JPN,1
1972,-,Kim Gwong-hyong,PRK,3
1972,-,Arsen Alakhverdiyev,URS,3
1972,-,Petru Ciarnau,ROU,4
1972,-,Sudesh Sudeshkumar,IND,3
1964, ,Yoshikatsu Yoshida,JPN,pts
1964,-,Chang Chang-sun,KOR,pts
1964,-,Andre Zoete,FRA,eliminated
1964,-,Ali Akbar Haydari,IRI,pts-eliminated
1964,-,Cemal Yanilmaz,TUR,eliminated
1964,-,Ali Aliyev,URS,eliminated
1960, ,Masayuki Matsubara,JPN,pts
1960,-,Ahmet Bilek,TUR,pts
1956, ,Mirian Tsalkalamanidze,URS,fall
1956,-,Mohammad Ali Khojastepour,IRI,3 - 0
1956,-,Huseyin Akbas,TUR,eliminated
1956,-,Tadashi Asai,JPN,eliminated
1956,-,Richard Delgado,USA,eliminated
1956,-,Abdul Aziz,PAK,eliminated
1956,-,Andre Zoete,FRA,eliminated
1956,-,Baban Daware,IND,eliminated
1956,-,Lee Young-ki,KOR,withdrew
1956,-,Luigi Chinazzo,ITA,eliminated
1956,-,Frederick Flannery,AUS,eliminated
1952, ,Yushu Kitano,JPN,3 - 0
1952, ,Hasan Gemici,TUR,bye
1952,-,Mahmoud Mollaghasemi,IRI,2 - 1
1952,-,Georgy Sayadov,URS,eliminated
1952,-,Louis Baise,RSA,eliminated
1952,-,Heinrich Weber,GER,eliminated
1948, ,Vilho Viitala,FIN,pts
1948, ,Halit Balamir,TUR,bye
1948,-,Thure Johansson,SWE,fall
1948,-,Pierre Baudric,FRA,eliminated
1948,-,Mohamad Rasoul Raissi,IRI,eliminated
1948,-,William Jernigan,USA,eliminated
1948,-,Khashaba Jadav,IND,eliminated
1948,-,Harry Parker,GBR,withdrew
1948,-,Adolphe Lamot,BEL,eliminated
1948,-,Bertram Harris,AUS,eliminated
1948,-,Mohamed Hamid El Ward,EGY,dq - overweight
1904, ,George Mehnert,USA,pts
1904,-,Gustav Bauer,USA,pts
