Year,Position,Name,NOC,Time/Distance/Points,Record
1996,2,Kim Il,PRK,5
1996,3,Armen Mkrchyan,ARM,4
1996,4,Alexis Vila Perdomo,CUB,5
1996,-,Vugar Orudzhev,RUS,2
1996,-,Jung Soon-won,KOR,4
1996,-,Vitali Railean,MDA,0
1996,-,Gheorghe Corduneanu,ROU,3
1996,-,Rob Eiter,USA,1
1992,1, Kim Il,PRK,4
1992,2, Kim Jong-shin,KOR,1
1992,3, Vugar Orudzhev,EUN,2
1992,4, Romica Rasovan,ROU,1
1992,5, Tim Vanni,USA,1
1992,6, Reiner Heugabel,GER,0
1992,7, Aldo Martinez Echavarria,CUB,ret
1988,1, Takashi Kobayashi,JPN,16
1988,2, Ivan Tzonov,BUL,4
1988,3, Sergei Karamchakov,URS,3
1988,4, Tim Vanni,USA,1
1988,5, Reiner Heugabel,FRG,dq
1988,7, Volker Anger,GDR,wo
1984,1, Robert Weaver,USA,fall
1984,2, Son Gab-do,KOR,13
1984,4, Gao Wenhe,CHN,7
1984,5, Reiner Heugabel,FRG,passivity
1984,-,Sunil Dutt,IND,0 - 2
1980, ,Sergei Kornilayev,URS,pts
1980,-,Jang Se-hong,PRK,fall
1980,-,Claudio Pollio,ITA,bye
1976, ,Roman Dmitriev,URS,4.0
1976,-,Akira Kudo,JPN,4.0
1976,-,Hasan Isayev,BUL,0.0
1976,-,Li Yong-nam,PRK,4.0
1976,-,Gombo Khishigbaatar,MGL,4.0
1976,-,Kim Hwa-kyung,KOR,3.0
1972, ,Roman Dmitriev,URS,1
1972,-,Ognyan Nikolov,BUL,3
1972,-,Ebrahim Javadpour,IRI,3
1972,-,Sefer Baygin,TUR,1
1972,-,Ion Arapu,ROU,3
1972,-,Masahiko Umeda,JPN,3
1904, ,Robert Curry,USA,fall
1904,-,John Hein,USA,fall
