Year,Position,Name,NOC,Time/Distance/Points,Record
1996,2,Rasoul Khadem Azghadi,IRI,3
1996,3,Makharbek Khadartsev,RUS,0
1996,4,Eldar Kurtanidze,GEO,5
1996,-,Jozef Lohyna,SVK,0
1996,-,Dzambolat Tyedyeyev,UKR,12
1996,-,Victor Kodei,NGR,0
1996,-,Melvin Douglas,USA,6
1996,-,Kim Ik-hee,KOR,0
1992,1, Makharbek Khadartsev,EUN,1
1992,2, Kennan Simsek,TUR,0
1992,3, Christopher Campbell,USA,3
1992,4, Puntsag Sukhbat,MGL,1
1992,5, Ayub Bani Nosrat,IRI,3
1992,6, Roberto Limonta Vargas,CUB,1
1992,7, Marek Garmulewicz,POL,0
1992,8, Renato Lombardo,ITA,0
1988,1, Makharbek Khadartsev,URS,16
1988,2, Akira Ota,JPN,0
1988,3, Kim Tae-woo,KOR,1
1988,4, Gabor Toth,HUN,0
1988,5, James Scherr,USA,3
1988,6, Rumen Alabakov,BUL,1
1988,7, Iraklis Deskoulidis,GRE,4
1988,8, Zevegying Duvchin,MGL,2
1984,1, Edward Banach,USA,15
1984,2, Akira Ota,JPN,3
1984,3, Noel Loban,GBR,5
1984,4, Clark Davis,CAN,1
1984,5, Macauley Appah,NGR,walkover
1984,-,Ismail Temiz,TUR,q
1980, ,Sanasar Oganisyan,URS,pts
1980,-,Uwe Neupert,GDR,pts
1980,-,Aleksander Cichon,POL,bye
1972, ,Benjamin Peterson,USA,0
1972,-,Russi Petrov,BUL,4
1972, ,Gennady Strakhov,URS,1
1972, ,Karoly Bajko,HUN,3
1972,-,Reza Khorrami,IRI,2
1972,-,Barbaro Morgan,CUB,4
1972,-,Günther Spindler,GDR,3.5
1964, ,Aleksandr Medved,URS,fall
1964, ,Ahmet Ayik,TUR,bye
1964,-,Peter Jutzeler,SUI,eliminated
1964,-,Said Mustafov,BUL,draw
1964,-,Gholam Reza Takhti,IRI,draw-eliminated
1964,-,Gerald Conine,USA,eliminated
1964,-,Heinz Kiehl,GER,eliminated
1960, ,Ismet Atli,TUR,pts
1956, ,Gholam Reza Takhti,IRI,3 - 0
1956,-,Boris Kulayev,URS,3 - 0
1956,-,Peter Blair,USA,bye
1952, ,Wiking Palm,SWE,2 - 1
1952, ,Henry Wittenberg,USA,bye
1952,-,August Englas,URS,eliminated
1952,-,Abbas Zandi,IRI,eliminated
1952,-,Adil Atan,TUR,bye
1952,-,Paavo Sepponen,FIN,eliminated
1952,-,Jacob Theron,RSA,eliminated
1952,-,Max Leichter,GER,eliminated
1952,-,Kevin Coote,AUS,eliminated
1952,-,Rodolfo Padron,VEN,eliminated
1952,-,Willy Lardon,SUI,withdrew
1952,-,Robert Steckle,CAN,eliminated
1952,-,Shirang Jadav,IND,eliminated
1948, ,Henry Wittenberg,USA,2 - 1
1948,-,Fritz Stöckli,SUI,2 - 1
1948,-,Bengt Fahlkvist,SWE,eliminated
1948,-,Muharrem Candash,TUR,eliminated
1948,-,Fernand Payette,CAN,eliminated
1948,-,Karel Istaz,BEL,eliminated
1948,-,Oscar Verona,ITA,eliminated
1948,-,Spyros Defteraios,GRE,eliminated
1948,-,Patrick Morton,RSA,2-1 eliminated
1948,-,John Sullivan,GBR,eliminated
1948,-,Jozsef Taranyi,HUN,eliminated
1948,-,Robert Landesmann,FRA,eliminated
1948,-,Mohamed Ragab El-Zaim,EGY,eliminated
1948,-,Mansour Mir Ghavami,IRI,eliminated
1948,-,Pekka Mellavuo,FIN,eliminated
1936, ,August Neo,EST,3 - 0
1936, ,Knut Fridell,SWE,bye
1936,-,Paul Datwyler,SUI,eliminated
1936,-,Ray Clemons,USA,eliminatet
1936,-,Erich Siebert,GER,bye
1936,-,Ede Virag-Ebner,HUN,eliminated
1936,-,Hubert Prokop,AUT,eliminated
1936,-,Eddie Scarf,AUS,eliminated
1936,-,Mustafa Avcioglu,TUR,retired
1936,-,Matti Lahti,FIN,eliminated
1936,-,Thomas Ward,GBR,eliminated
1936,-,Maurice Beke,BEL,eliminated
1932, ,Peter Mehringer,USA,pts
1932,-,Thure Sjöstedt,SWE,fall
1932,-,Henry Madison,CAN,eliminated
1932,-,Eddie Scarf,AUS,fall
1928, ,Thure Sjöstedt,SWE,winner
1928,-,Arnold Bögli,SUI,winner
1928,-,Henri Lefebre,FRA,winner
1928,-,Heywood Edwards,USA,winner
1928,-,Jacques van Assche,BEL,winner
1920, ,Anders Larsson,SWE,wo
1920, ,Walter Maurer,USA,pts
1920,-,Charles Courant,SUI,fall
1920,-,John Redman,USA,pts
1920,-,Johan Gallen,FIN,pts
1920,-,Emil Westerlund,FIN,pts
1908, ,Stanley Bacon,GBR,pts
1908, ,Frederick Beck,GBR,wo
1908,-,George de Relwyskow,GBR,pts
1908,-,Carl Andersson,SWE,pts
1908,-,Aubrey Coleman,GBR,fall
1908,-,Edgar Bacon,GBR,fall
