Year,Position,Name,NOC,Time/Distance/Points,Record
1996,2,Sim Kwon-ho,KOR,4
1996,3,Aleksandr Pavlov,BLR,0
1996,4,Zafar Guliyev,RUS,4
1996,-,Kang Yong-gyun,PRK,0
1996,-,Wilber Sanchez Amita,CUB,4
1996,-,Gela Papashvili,GEO,0
1996,-,Hiroshi Kado,JPN,1
1996,-,Ioannis Agakatzanian,GRE,0
1992,1, Oleg Kucherenko,EUN,3
1992,2, Vincenzo Maenza,ITA,0
1992,3, Wilber Sanchez Amita,CUB,5
1992,4, Fuat Yildiz,GER,0
1992,5, Iliuta Dascalescu,ROU,wo
1992,7, Lars Rønningen,NOR,wo
1988,1, Vincenzo Maenza,ITA,3
1988,2, Andrzej Glab,POL,0
1988,3, Bratan Tzenov,BUL,passivity
1988,5, Khaled Al-Farej,SYR,16
1988,6, Markus Scherer,FRG,6
1988,7, Yang Zhizhong,CHN,injury
1984,1, Vincenzo Maenza,ITA,12
1984,2, Markus Scherer,FRG,0
1984,3, Ikuzo Saito,JPN,7
1984,4, Salih Bora,TUR,5
1984,5, Kent Andersson,SWE,10
1984,6, Jun Dae-je,KOR,3
1984,-,Li Haisheng,CHN,1 - 2
1984,-,Mark Fuller,USA,0 - 2
1984,-,Jukka-Pekka Tanner,FIN,0 - 2
1984,-,Lars Rønningen,NOR,0 - 2
1984,-,Gustavo Delgado,MEX,0 - 2
1984,-,Abdel Malek El-Aouad,MAR,0 - 1
1980, ,Zaksylik Ushkempirov,URS,pts
1980, ,Constantin Alexandru,ROU,pts
1980,-,Ferenc Seres,HUN,pts
1980,-,Reijo Haaparanta,FIN,eliminated
1980,-,Pavel Hristov,BUL,pts
1980,-,Alfredo Olvera,MEX,eliminated
1980,-,Vincenzo Maenza,ITA,eliminated
1980,-,Kent Andersson,SWE,eliminated
1980,-,Saber Nakdali,SYR,eliminated
1980,-,Roman Kierpacz,POL,eliminated
1976, ,Aleksei Shumakov,URS,pts
1976,-,Gheorghe Berceanu,ROU,pts
1972, ,Gheorghe Berceanu,ROU,1
1972,-,Rahim Aliabadi,IRI,3
1972,-,Stefan Angelov,BUL,4
1972,-,Raimo Hirvonen,FIN,3.5
1972,-,Kazuharu Ishida,JPN,3
1972,-,Lorenzo Calafiore,ITA,4
