Team,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,AVG,Continent
Afghanistan,5000000,5730000,12000000,7000000,7000000,8150368,9829450,12430623,15112149,14669339,23898198,29185507,38928346,14533383.08,Asia
Albania,800000,874000,932000,982000,1088000,1227156,1623114,2156612,2671412,3250778,3473835,2948023,2877797,1915748.231,Europe
Algeria,4675310.976,5495165.731,5779437.471,6452568.379,7689043.171,8925443.377,10784000,13931846,18806061,25089000,30429000,35977455,43851044,16760413.47,Africa
Andorra,,5000,6000,5000,,6176,8392,19545,33584,52837,66824,84449,77265,33188.36364,Europe
Angola,2935018.814,2708492.336,2602082.101,3019822.508,3470251.637,4148000,5012000,5605626,6743000,8297000,10377000,23356246,32866272,8549293.184,Africa
Antigua and Barbuda,35000,32000,30000,31000,42000,45816,54500,65624,68546,64000,75000,88028,97929,56111,North America
Argentina,4693000,6836000,8861000,11896000,14169000,17150336,20616009,23962313,28369799,33036000,37336000,40895752,45195774,22539767.92,South America
Armenia,,,,,,1355269,1868852,2519745,3115289,3376783,3042556,2877319,2963243,2639882,Asia
Australia,3741000,4375000,5358000,6469000,7042000,8267337,10361273,12660160,14615900,16956000,19053000,22154679,25499884,12042556.38,Oceania
Austria,5973000,6614000,6455000,6684000,6705000,6935100,7047437,7467086,7549433,7722953,8113413,8409949,9006398,7283289.923,Europe
Azerbaijan,,,,,,2885332,3881546,5168973,6173361,7199838,7809000,9032461,10139177,6536211,Asia
Bahamas,54000,56000,53000,60000,69000,70498,112234,170323,209944,257253,290075,354942,393244,165424.0769,North America
Bahrain,,81882,120000,120000,120000,114840,156648,219543,347568,500476,634137,1240860,1701575,446460.75,Asia
Bangladesh,,31786000,,34427000,41966000,45645964,54593000,67331000,87937000,111437000,136681000,147575430,164689383,84006252.45,Asia
Barbados,196000,172000,157000,174000,194000,210666,232339,238756,251966,262000,274000,282131,287375,225556.3846,North America
Belarus,,,,,,7722155,8167918,9027198,9643706,10215208,10366719,9420574,9449323,9251600.125,Europe
Belgium,6719000,7498000,7552000,8076000,8346000,8639369,9118700,9637800,9846800,9969310,10263618,10938739,11589623,9091919.923,Europe
Belize,37000,40000,45000,51000,59000,65797,91863,122070,144416,190847,247887,322464,397628,139613.2308,North America
Benin,1079440.454,1169579.529,1257756.657,1459677.948,1677399.839,2005000,2316000,2619809,3458000,4705000,6619000,9199259,12123200,3822240.187,Africa
Bhutan,,250000,250000,250000,250000,164000,212000,309000,446000,615000,606000,685503,771608,400759.25,Asia
Bolivia,1696000,1837000,2136000,2397000,2690000,2766028,3434073,4346218,5441298,6573900,8195000,10048590,11673021,4864163.692,South America
Bosnia and Herzegovina,,1972000,,,,2662000,3240000,3703000,4092000,4423646,4035457,3705472,3280819,3457154.889,Europe
Botswana,165363.7463,194663.3681,227038.2813,279529.3798,341361.8393,412827,528827,583999,900476,1265000,1680000,1987105,2351627,839832.1242,Africa
Brazil,17984000,22216000,27404000,33568000,41114000,53443075,71694810,95684297,123020000,151170000,176320000,195713635,212559417,93991633.38,South America
Brunei,,22000,26000,30000,41000,44983,83037,127554,185220,253000,325000,388646,437479,163659.9167,Asia
Bulgaria,4000000,4520000,5072000,6027000,6666000,7250500,7867374,8489574,8843528,8894028,7818495,7425008,6948445,6909380.923,Europe
Burkina Faso,2194101.788,2447757.146,2650779.775,3016255.327,3398390.077,3983000,4563000,5303777,6318000,8361000,11588000,15605217,20903273,6948657.778,Africa
Burundi,1737802.846,1603678.201,1540673.491,1788014.484,2054710.227,2456000,2940000,3521913,4299555,5505113,6621126,8675602,11890784,4202690.173,Africa
Cambodia,,3070000,,2806000,3046000,4471170,5761223,7396000,6888000,9345000,12396000,14312212,16718965,7837324.545,Asia
Cameroon,3312922.56,3040692.391,2912172.074,3323212.105,3777105.322,4466000,5408000,6726733,8762000,11884000,15343000,20341241,26545863,8910995.496,Africa
Canada,5457000,7188000,8798000,10488000,11688000,14011422,18266765,21749986,24593300,27790600,31100000,34147564,37742154,19463137.77,North America
Cape Verde,,144000,127000,146000,182000,146403,196768,268867,296042,349264,402000,492654,555987,275582.0833,Africa
Central African Republic,976535.8291,919500.6195,874497.7715,995068.9177,1121135.968,1314000,1530000,1839245,2349000,3085000,3940000,4386768,4829767,2166193.777,Africa
